95-Am-242(n,&gamma;) ENDF/B-VII.1
1.0E-5,52664.5
1.31241E-5,45971.9
1.70876E-5,40289.8
2.2426E-5,35170.5
2.91987E-5,30824.1
3.83206E-5,26907.8
4.98935E-5,23583.3
6.54808E-5,20588.0
8.52562E-5,18045.6
1.11891E-4,15754.7
1.45682E-4,13810.0
1.91195E-4,12058.6
2.48937E-4,10572.0
3.26707E-4,9232.54
4.25373E-4,8096.38
5.58264E-4,7073.18
7.26861E-4,6205.84
9.53941E-4,5424.92
0.00124203,4762.84
0.00163006,4167.78
0.00212234,3664.14
0.00278538,3212.01
0.00362657,2830.44
0.00475955,2493.13
0.00619694,2205.2
0.00813293,1948.33
0.0105891,1736.81
0.0138972,1546.96
0.0180942,1392.41
0.0234661,1267.67
0.0253,1234.21
0.0361611,1106.15
0.0516848,1022.6
0.078782,982.163
0.0836914,981.484
0.133793,996.344
0.166801,966.344
0.200104,872.063
0.282435,524.586
0.315598,414.726
0.345014,342.167
0.376701,286.067
0.41066,246.873
0.439349,227.695
0.474479,219.252
0.502584,223.251
0.589238,265.6
0.600948,266.628
0.624368,258.825
0.659498,225.254
0.7162,157.507
0.75369,123.649
0.79042,100.304
0.82715,84.1112
0.866503,72.1133
0.918974,61.4978
0.984563,53.0779
1.06589,46.3708
1.21544,38.2671
1.32038,34.3829
1.39909,32.8114
1.42532,32.6642
1.49353,33.6118
1.54469,36.0903
1.59254,40.2947
1.67208,49.5583
1.71163,51.4757
1.75334,49.5353
1.83459,42.4852
1.87748,41.203
1.91853,42.1199
1.97557,46.3463
2.06112,54.7121
2.09872,56.0299
2.14384,53.7822
2.20589,45.5369
2.28438,34.1605
2.33797,28.4555
2.39085,24.5613
2.44373,22.0484
2.50483,20.4591
2.56124,20.0057
2.6266,20.6104
2.69197,22.5934
2.73927,25.1571
2.79446,29.8029
2.85395,37.2422
2.94857,50.683
3.07088,62.7897
3.16829,74.386
3.22053,76.1498
3.35828,73.702
3.39634,70.3464
3.45186,60.6341
3.52959,44.9903
3.574,38.5396
3.61207,34.8141
3.65172,32.5305
3.69138,31.7183
3.73091,32.3325
3.77044,34.497
3.80895,38.393
3.85152,45.2808
3.89408,55.3499
3.97246,77.9207
4.01192,84.1061
4.02111,84.5003
4.05895,82.383
4.1345,73.693
4.1533,73.2086
4.24878,78.0919
4.28591,75.2887
4.33233,65.0081
4.39845,47.4108
4.43946,39.1286
4.48823,32.2713
4.54317,27.1773
4.61502,22.7807
4.7028,19.1829
4.77108,17.3153
4.83935,16.2009
4.90763,15.8476
4.98873,16.4511
5.06983,18.3335
5.1485,21.581
5.30601,30.5761
5.37148,32.4615
5.38477,32.5393
5.45368,31.5834
5.51766,30.0866
5.55704,29.7958
5.62036,31.2221
5.7164,34.96
5.78901,36.6452
5.86426,40.9924
5.92142,44.286
5.9475,44.7377
5.9893,43.593
6.09974,34.9015
6.25052,22.7524
6.28896,20.5318
6.32739,19.1093
6.37174,18.5311
6.40985,19.0132
6.44796,20.5463
6.48395,23.1609
6.52593,27.8623
6.60201,38.9654
6.6399,42.4053
6.65505,42.8337
6.69293,41.7367
6.74913,39.0943
6.75228,39.0767
6.822,41.3648
6.8508,40.0314
6.89221,34.0371
6.92407,29.3693
6.95981,26.2551
7.02733,22.1286
7.09685,16.5209
