95-Am-244(n,&gamma;) ENDF/B-VII.1
1.0E-5,30203.4
1.30374E-5,26452.1
1.71104E-5,23090.0
2.22778E-5,20235.7
2.92376E-5,17663.7
3.80674E-5,15480.1
4.996E-5,13512.6
6.50481E-5,11842.1
8.53698E-5,10336.9
1.11152E-4,9059.01
1.45877E-4,7907.54
1.89932E-4,6929.94
2.49268E-4,6049.06
3.24548E-4,5301.22
4.2594E-4,4627.38
5.54575E-4,4055.27
7.2783E-4,3539.77
9.47636E-4,3102.13
0.00124369,2707.78
0.00161928,2373.04
0.00212517,2071.36
0.00276697,1815.19
0.0036314,1584.53
0.00472809,1388.59
0.0062052,1211.9
0.00807918,1062.42
0.0106032,927.336
0.0138054,812.737
0.0181183,709.377
0.0244451,610.579
0.0253,600.162
0.033204,523.711
0.0432317,458.748
0.0567377,400.193
0.0648112,380.077
0.0738726,400.584
0.115908,327.087
0.150913,286.648
0.198059,250.276
0.257874,219.295
0.338436,191.476
0.440644,167.815
0.578306,146.42
0.747273,128.811
0.964312,113.383
1.24846,99.6974
1.63749,87.0941
2.26528,74.0972
3.11213,63.3072
4.17709,54.632
5.6137,47.1921
7.66442,40.3815
10.4525,34.6014
14.0162,29.7659
19.1786,25.3742
25.882,21.7569
35.2068,18.6032
47.0559,16.0297
64.3369,13.673
88.204,11.6274
119.486,9.95465
158.381,8.59377
208.855,7.44657
283.178,6.36313
380.494,5.45789
502.833,4.72402
688.576,4.01415
920.532,3.45604
1216.07,3.00378
1637.49,2.59299
2265.28,2.20898
3112.13,1.89053
4213.36,1.63041
5874.41,1.39673
8025.23,1.22246
13049.0,0.939229
14000.0,0.897164
21066.8,0.867185
32320.5,0.782094
48989.8,0.728198
81406.0,0.68493
123790.0,0.670484
239106.0,0.70977
429872.0,0.829962
500000.0,0.852094
600000.0,0.827406
721056.0,0.738068
848528.0,0.631827
1064830.0,0.511768
1355390.0,0.358908
1555720.0,0.272624
1734150.0,0.210156
1934430.0,0.155325
2122900.0,0.114148
2272960.0,0.0897194
2510530.0,0.0601525
2648030.0,0.0471609
2780640.0,0.0376993
2935870.0,0.0293738
3130380.0,0.0211979
3278300.0,0.0165326
3433080.0,0.0129177
3609620.0,0.00981605
3772460.0,0.00769779
3941180.0,0.00604151
4109560.0,0.00482154
4306710.0,0.00376111
4513340.0,0.00292864
4708700.0,0.00233759
4937190.0,0.00181799
5160600.0,0.00144172
5403650.0,0.00112033
5540690.0,8.86609E-4
5692190.0,6.88484E-4
5843320.0,5.38896E-4
6014490.0,4.06892E-4
6111330.0,3.24161E-4
6222700.0,2.50869E-4
6336050.0,1.94286E-4
6451990.0,1.50115E-4
6565690.0,1.17274E-4
6677480.0,9.22839E-5
6788450.0,7.30391E-5
6917300.0,5.5874E-5
7085440.0,3.87682E-5
7200790.0,2.98319E-5
7317970.0,2.29724E-5
7437580.0,1.76476E-5
7554460.0,1.37176E-5
7664350.0,1.08471E-5
7775900.0,8.58447E-6
7896770.0,6.68313E-6
8000000.0,5.40788E-6
8165980.0,4.16882E-6
8328440.0,3.24248E-6
8492570.0,2.53001E-6
8666250.0,1.95698E-6
8841910.0,1.5155E-6
9000000.0,1.2098E-6
9359700.0,9.34541E-7
9713360.0,7.3229E-7
1.00599E7,5.82653E-7
1.04752E7,4.51988E-7
1.08873E7,3.55238E-7
1.1E7,3.32869E-7
1.17759E7,3.29007E-7
1.26489E7,2.57693E-7
1.37112E7,1.92042E-7
1.4E7,1.77551E-7
1.55556E7,1.44673E-7
1.6E7,1.36966E-7
1.734E7,1.30802E-7
1.9E7,1.08967E-7
2.0E7,1.00641E-7
