95-Am-244(n,total fission) ENDF/B-VII.1
1.0E-5,115936.0
1.30374E-5,101536.0
1.71104E-5,88630.6
2.22778E-5,77673.7
2.92376E-5,67800.5
3.80674E-5,59418.3
4.996E-5,51865.2
6.50481E-5,45452.7
8.53698E-5,39674.5
1.11152E-4,34768.8
1.45877E-4,30348.3
1.89932E-4,26595.4
2.49268E-4,23213.6
3.24548E-4,20342.7
4.2594E-4,17755.8
5.54575E-4,15559.6
7.2783E-4,13580.9
9.47636E-4,11901.0
0.00124369,10387.4
0.00161928,9102.59
0.00212517,7944.99
0.00276697,6962.14
0.0036314,6076.81
0.00472809,5325.32
0.0062052,4647.63
0.00807918,4073.67
0.0106032,3555.49
0.0138054,3115.75
0.0181183,2719.52
0.0244451,2340.72
0.0253,2300.74
0.033204,2007.56
0.0432317,1758.53
0.0567377,1534.08
0.0648112,1462.34
0.0738726,1582.51
0.0810948,1551.33
0.105586,1359.94
0.138572,1186.77
0.18042,1039.75
0.236786,907.466
0.308296,795.064
0.40461,694.119
0.524404,609.579
0.685554,533.219
0.892593,467.179
1.14689,412.108
1.56941,352.446
2.09762,304.649
2.84907,261.591
3.86867,224.27
5.25,192.611
7.24569,163.833
9.97659,139.705
13.4707,120.11
18.0,103.885
24.98,88.1613
33.7019,75.9209
46.2011,64.7921
62.5,55.7267
83.6943,48.152
114.653,41.1002
157.224,35.1187
209.762,30.3761
284.907,26.0915
386.867,22.3723
525.0,19.231
724.569,16.3733
997.659,13.992
1347.07,12.063
1800.0,10.4748
2500.0,8.95097
3367.68,7.77371
4556.42,6.7691
6245.0,5.88125
8619.53,5.13633
12000.0,4.50682
17000.0,3.98723
24000.0,3.58394
35000.0,3.2635
52440.4,3.0326
84852.8,2.86469
487171.0,1.92271
625000.0,1.71971
750000.0,1.64575
800000.0,1.64699
937002.0,1.56382
1000000.0,1.50949
1200000.0,1.46707
2749140.0,1.74864
3500000.0,1.8098
4500000.0,1.76129
5500000.0,1.68713
6250000.0,1.73326
7000000.0,1.8746
8000000.0,2.14933
9500000.0,2.39417
1.0E7,2.45951
1.2E7,2.55365
1.6E7,2.33806
2.0E7,2.2672
