96-Cm-242(n,total fission) ENDF/B-VII.1
1.0E-5,237.189
1.31241E-5,207.043
1.70876E-5,181.448
2.2426E-5,158.387
2.91987E-5,138.807
3.83206E-5,121.164
4.98935E-5,106.186
6.54808E-5,92.6891
8.52562E-5,81.2323
1.11891E-4,70.9071
1.45682E-4,62.1406
1.91195E-4,54.2434
2.48937E-4,47.5373
3.26707E-4,41.4928
4.25373E-4,36.3625
5.58264E-4,31.7386
7.26861E-4,27.815
9.53941E-4,24.2776
0.00124203,21.2732
0.00163006,18.5666
0.00212234,16.2687
0.00278538,14.1973
0.00362657,12.44
0.00475955,10.8751
0.00619694,9.526
0.00813293,8.30734
0.0105891,7.28399
0.0138972,6.34274
0.0180942,5.54763
0.0234661,4.87052
0.0253,4.68339
0.033204,4.06947
0.0432317,3.56567
0.0567377,3.08832
0.0738726,2.68519
0.105586,2.21975
0.144742,1.86738
0.18924,1.60465
0.257874,1.34156
0.338436,1.1346
0.462184,0.928624
0.604058,0.773017
0.752956,0.658122
0.944185,0.550521
1.22079,0.443117
1.51485,0.363952
1.83463,0.301573
2.28433,0.239551
2.68281,0.199901
3.16098,0.164006
3.84788,0.128253
4.41713,0.107182
5.10212,0.0881725
5.84025,0.0733072
6.59925,0.0623225
7.511,0.0528089
8.5309,0.0463227
9.3696,0.0438178
9.5973,0.0436615
10.0527,0.0442147
10.6599,0.0475101
11.1153,0.0532244
11.3999,0.0593305
11.6846,0.068825
11.9217,0.0809806
12.1115,0.0953977
12.2965,0.11604
12.4459,0.140411
12.574,0.1704
12.6807,0.205489
12.7804,0.251262
12.8705,0.309705
12.9535,0.386305
13.0211,0.474119
13.0792,0.57846
13.1373,0.724854
13.1871,0.903266
13.2286,1.11132
13.2642,1.35679
13.2974,1.67297
13.3271,2.0673
13.352,2.52971
13.3733,3.08123
13.3918,3.74951
13.4072,4.52653
13.4227,5.62838
13.4345,6.81832
13.4459,8.37694
13.4566,10.3578
13.4673,13.0228
13.4777,16.4974
13.4891,21.539
13.5005,28.1833
13.5133,37.902
13.5275,51.7148
13.5455,73.401
13.5821,121.771
13.6014,139.942
13.6192,146.148
13.6196,146.152
13.6337,142.524
13.6523,127.548
13.6807,91.3636
13.7054,59.3593
13.721,42.7735
13.7338,32.0207
13.7452,24.5333
13.7566,18.7686
13.7673,14.6717
13.778,11.5863
13.7886,9.28387
13.8003,7.44007
13.8116,6.11843
13.8259,4.92976
13.8421,3.98365
13.8603,3.24592
13.8804,2.66436
13.9046,2.16581
13.9331,1.7485
13.9663,1.40315
14.0042,1.12374
14.0458,0.906207
14.0896,0.739966
14.1394,0.602536
14.1987,0.484885
14.2652,0.391014
14.3411,0.314537
14.4241,0.254852
14.5189,0.206204
14.6304,0.165874
14.7585,0.13353
14.8913,0.109901
15.0621,0.0886474
15.2329,0.0737523
15.4037,0.0629385
15.6313,0.0526106
15.916,0.0437163
16.2575,0.0365973
16.6503,0.0312085
17.1645,0.0265933
17.749,0.0233212
18.4796,0.0208951
19.2101,0.0194833
20.379,0.0185701
20.6712,0.0185239
21.9503,0.0193056
22.9921,0.0211942
23.8603,0.0238673
24.7285,0.0281494
25.5099,0.034364
26.0308,0.0405942
26.5517,0.0496304
26.9475,0.0592534
27.2857,0.070753
27.6465,0.0880102
27.9397,0.108156
28.1877,0.131901
28.4048,0.160702
28.6134,0.1993
28.791,0.245152
28.9601,0.306476
29.0982,0.376752
29.2279,0.468604
29.3406,0.580247
29.4393,0.715765
29.5295,0.887595
29.6126,1.10939
29.6817,1.36643
29.7465,1.70296
29.8057,2.13817
29.8564,2.66788
29.8959,3.23965
29.9354,4.0384
29.9658,4.90909
29.9898,5.85344
30.0137,7.17516
30.0352,8.881
30.0529,10.8939
30.0687,13.3689
30.0845,16.7666
30.1,21.3439
30.1152,27.4403
30.1304,35.5897
30.1451,45.8429
30.1609,60.0223
30.1798,81.8277
30.2015,113.674
30.2339,172.325
30.2764,251.755
30.3029,286.552
30.3268,299.312
30.3295,299.466
30.3516,290.769
30.3796,257.261
30.4239,175.911
30.4563,116.853
30.4788,83.3526
30.498,60.9833
30.5149,45.7387
30.5304,35.0191
30.5459,26.8955
30.5611,20.943
30.5764,16.5391
30.5916,13.2972
30.6084,10.7
30.6275,8.59811
30.6491,6.955
30.6739,5.64812
30.7021,4.61326
30.7359,3.74018
30.7725,3.0647
30.8148,2.49973
30.8642,2.02378
30.9219,1.6249
30.9811,1.32981
31.0516,1.07463
31.1305,0.868795
31.2151,0.708613
31.3137,0.572984
31.4293,0.459488
31.5477,0.375945
31.683,0.306668
31.8409,0.248848
32.0213,0.202128
32.2129,0.166828
32.4497,0.13639
32.7203,0.11298
33.036,0.0951265
33.3066,0.085304
33.6427,0.0779276
34.0418,0.0747167
34.452,0.0771541
34.7992,0.0843169
35.0596,0.0938297
35.32,0.108463
35.5587,0.128615
35.754,0.152529
35.9493,0.18683
36.1093,0.226966
36.2612,0.28128
36.3833,0.342809
36.4972,0.422809
36.6003,0.524554
36.6871,0.644031
36.7712,0.806202
36.8376,0.985036
36.9041,1.23532
36.9611,1.54071
37.0099,1.91117
37.0506,2.34534
37.0831,2.82804
37.1102,3.38222
37.1349,4.08464
37.158,5.0212
37.1787,6.2381
37.1968,7.74038
37.2139,9.72264
37.2291,12.118
37.2442,15.3079
37.2601,19.7348
37.2765,25.7932
37.2944,34.5026
37.3115,45.2047
37.3316,61.0581
37.3576,86.8611
37.4325,174.59
37.4585,196.291
37.487,206.23
37.4895,206.311
37.516,199.146
37.5443,177.355
37.5906,123.762
37.6289,79.5821
37.6517,58.042
37.6707,43.5875
37.6896,32.2487
37.7059,24.7541
37.7222,19.0
37.7385,14.6669
37.7532,11.7063
37.7694,9.28921
37.7855,7.51048
37.804,6.03896
37.8236,4.92504
37.8426,4.14746
37.8698,3.35864
37.8969,2.80363
37.9294,2.32113
37.9701,1.88789
38.0189,1.51873
38.0759,1.21472
38.141,0.969985
38.2061,0.794131
38.2821,0.644488
38.3689,0.520788
38.4638,0.4229
38.5804,0.3369
38.7106,0.269183
38.8571,0.215358
39.009,0.175473
39.1935,0.140707
39.3833,0.115018
39.6112,0.0928905
39.877,0.0746829
40.1808,0.0600799
40.528,0.0484282
40.8752,0.0401869
41.3553,0.0322015
41.8354,0.0266397
42.4116,0.02194
43.0837,0.0182124
