96-Cm-243(n,&gamma;) ENDF/B-VII.1
1.0E-5,6979.64
1.31241E-5,6092.5
1.70876E-5,5339.3
2.2426E-5,4660.66
2.91987E-5,4084.45
3.83206E-5,3565.23
4.98935E-5,3124.44
6.54808E-5,2727.23
8.52562E-5,2390.04
1.11891E-4,2086.15
1.45682E-4,1828.11
1.91195E-4,1595.65
2.48937E-4,1398.23
3.26707E-4,1220.26
4.25373E-4,1069.19
5.58264E-4,932.998
7.26861E-4,817.403
9.53941E-4,713.147
0.00124203,624.558
0.00163006,544.701
0.00212234,476.852
0.00278538,415.629
0.00362657,363.621
0.00475955,317.237
0.00619694,277.162
0.00813293,240.871
0.0105891,210.295
0.0145161,177.861
0.0180942,158.107
0.0234661,137.613
0.0253,131.96
0.0346825,110.486
0.0453449,94.9355
0.0592642,80.8665
0.0774837,68.5589
0.101268,58.22
0.126231,50.4782
0.15829,43.5945
0.198059,37.9104
0.24733,33.3572
0.308296,30.0517
0.368577,28.482
0.416347,28.1048
0.525484,29.4025
0.629771,31.2073
0.646747,31.2648
0.714655,30.4506
0.831067,27.4178
0.894124,26.7382
0.958844,27.3416
1.10816,31.6101
1.15348,32.0474
1.24207,31.5059
1.28946,32.0384
1.32655,33.7186
1.37413,38.3161
1.442,47.668
1.4662,48.8446
1.49,47.7197
1.57401,37.5995
1.60602,35.4663
1.65102,34.4464
1.70728,35.4604
1.77604,39.2275
1.83903,45.1097
1.89298,52.7669
1.93799,62.4976
1.97099,73.2526
2.0328,100.425
2.0592,105.954
2.0688,106.34
2.11197,105.075
2.16686,110.142
2.26959,125.166
2.30056,126.338
2.34278,124.013
2.41314,111.719
2.52942,84.9271
2.58273,75.8861
2.63603,71.0235
2.6538,70.6646
2.69339,73.0959
2.75784,81.6368
2.7726,81.9266
2.81101,81.062
2.84101,83.2793
2.87505,91.8343
2.90516,105.703
2.93527,126.792
2.96606,157.22
3.03044,238.934
3.05172,257.882
3.07108,264.024
3.09215,256.644
3.11876,229.915
3.181,147.011
3.2108,116.551
3.24059,94.2614
3.27318,77.2761
3.30976,64.7746
3.34966,56.6057
3.38956,52.5885
3.41883,51.8676
3.45222,53.3447
3.48561,57.6846
3.51384,64.3093
3.54206,74.8195
3.56747,89.1921
3.59052,108.222
3.61357,135.473
3.63474,170.145
3.65986,224.757
3.7005,324.855
3.72045,356.05
3.7328,361.96
3.74905,352.004
3.77164,310.255
3.81981,189.204
3.84173,145.912
3.8629,114.491
3.88548,90.0928
3.90806,72.5239
3.93347,58.3344
3.95981,47.7834
3.9918,38.6679
4.02473,32.0159
4.06378,26.405
4.10659,22.0597
4.15551,18.5478
4.22085,15.354
4.29927,12.8489
4.39401,10.9246
4.48223,9.79949
4.59986,8.92673
4.72336,8.55534
4.76453,8.53304
4.92332,8.90708
5.03507,9.6742
5.15269,11.1228
5.23503,12.7253
5.31736,15.0726
5.3997,18.5127
5.47616,22.9898
5.61143,32.6427
5.67777,35.3732
5.70082,35.6106
5.77139,34.2775
5.91289,29.029
6.0468,26.6514
6.2432,24.0506
6.41951,20.9487
6.50432,20.0974
6.54673,19.9836
6.64716,20.8416
6.71411,22.5583
6.78107,25.6209
6.84532,30.4294
6.89919,36.5395
6.95048,45.0135
6.99532,55.4156
7.04016,69.2374
7.1495,111.186
7.18367,119.578
7.20912,121.628
7.24858,116.849
7.29983,99.7076
7.38354,66.5229
7.42967,52.4092
7.4758,41.8969
7.52064,34.4497
7.57291,28.2849
7.62349,24.1405
7.67408,21.266
7.71455,19.6561
7.77961,18.0808
7.84467,17.5832
7.91374,18.2032
7.98281,20.0751
8.12695,26.0654
8.171,26.6686
8.21104,26.0779
8.2771,23.2559
8.38371,17.9832
8.46087,15.5419
8.52651,14.3228
8.62499,13.5684
8.65781,13.5105
8.84497,14.1012
9.01342,14.7607
9.05709,14.7867
9.16939,14.4379
9.35655,12.6951
9.62637,9.60413
9.78936,8.32528
9.92271,7.76375
10.0116,7.65969
10.1352,7.94864
10.2587,8.82372
10.4963,11.4527
10.5662,11.715
10.6321,11.4714
10.7662,9.98252
10.9053,8.47113
10.9953,7.96876
11.0462,7.87989
11.148,8.16666
11.2159,8.7631
11.2838,9.79693
11.3496,11.399
11.4026,13.3401
11.4557,16.1899
11.4997,19.6386
11.5365,23.6787
11.5733,29.3586
11.6049,36.2619
11.6319,44.4254
11.6575,54.8821
11.6845,69.87
11.7125,91.0588
11.7434,121.64
11.8073,194.366
11.8324,213.027
11.8538,218.312
11.8809,209.308
11.9088,184.992
11.9753,108.967
12.0033,83.3775
12.0286,65.7218
12.0544,52.2118
12.0819,41.6945
12.1104,33.8462
12.1394,28.0414
12.1732,23.2325
12.211,19.643
12.2486,17.5122
12.2767,16.7096
12.3041,16.4644
12.357,16.5957
12.3975,15.9668
12.4339,14.3157
12.5102,9.67407
12.5431,8.15541
12.5806,6.90835
12.6275,5.86161
12.6931,4.92251
12.7728,4.19076
12.8732,3.58872
12.9932,3.12235
13.1255,2.79682
13.2522,2.60718
13.4575,2.48387
13.4938,2.48282
13.648,2.55083
13.8023,2.75803
13.9339,3.09506
14.0489,3.59018
14.1351,4.16854
14.2107,4.92231
14.2712,5.79586
14.3317,7.06323
14.3831,8.64429
14.4255,10.5044
14.4618,12.711
14.4966,15.5938
14.5329,19.7031
14.5692,25.2175
14.6191,34.994
14.6772,46.4407
14.7086,50.0719
14.7282,50.7397
14.7619,48.8038
14.7976,43.309
14.8793,27.2348
14.9201,21.1074
14.9579,17.0519
14.9942,14.3356
15.0305,12.4636
15.0759,10.9528
15.1213,10.0813
15.1717,9.64592
15.1919,9.59874
15.2549,9.85779
15.3179,10.7199
15.3823,12.3198
15.4359,14.3843
15.4895,17.3861
15.541,21.5269
15.5861,26.5612
15.6354,34.0482
15.6955,46.2053
15.7779,64.6141
15.8225,70.8718
15.8485,71.9631
15.8912,69.1781
15.9367,61.1405
16.0384,38.1725
16.0903,29.0104
16.1386,22.6966
16.189,17.9186
16.2405,14.4217
16.2963,11.7156
16.3564,9.64802
16.4272,7.95553
16.5023,6.74224
16.5881,5.84891
16.6825,5.30721
16.7769,5.16179
16.8464,5.33858
16.9172,5.87754
16.9648,6.56427
17.0124,7.69182
17.0481,9.00441
17.0838,10.9444
17.1171,13.5659
17.1504,17.1824
17.1988,24.0905
17.2494,31.4323
17.2809,34.1654
17.2986,34.6586
17.3247,33.8943
17.3608,30.4139
17.4329,21.0566
17.4683,17.8009
17.4958,16.2668
17.5232,15.5809
17.5322,15.5278
17.5623,15.9369
17.6,17.6503
17.6451,21.2456
17.7152,27.9984
17.7537,30.1963
17.7713,30.4362
17.7995,29.7058
17.8356,27.039
17.9274,17.6078
17.9641,14.9646
17.9957,13.6867
18.0168,13.4516
18.0378,13.8315
18.0621,15.2483
18.0815,17.3368
18.101,20.4294
18.1251,25.7119
18.1893,42.9779
18.2122,46.7414
18.2292,47.5705
18.252,45.7563
18.2792,39.9025
18.3408,21.8985
18.363,16.753
18.3842,13.0401
18.4028,10.6508
18.424,8.70159
18.4473,7.25405
18.4743,6.17076
18.5013,5.4773
18.5395,4.87819
18.5967,4.43368
18.6539,4.30444
18.7175,4.42862
18.7811,4.83771
18.8396,5.54597
18.888,6.49814
18.9282,7.70976
18.9616,9.20066
18.9893,11.0076
19.0123,13.1994
19.0333,16.1431
19.0512,19.8733
19.0655,24.1537
19.0799,30.1745
19.0911,36.6171
19.1039,46.4132
19.1167,59.6324
19.1285,75.597
19.1408,96.9242
19.1551,128.707
19.1725,177.979
19.1945,255.406
19.2329,403.076
19.2554,467.761
19.2751,493.382
19.2796,494.382
19.2997,476.327
19.3209,422.015
19.3818,195.477
19.3994,142.325
19.4147,105.811
19.4284,80.3524
19.4421,60.983
19.4552,47.1204
19.4684,36.9048
19.4815,29.4527
19.4947,24.0282
19.5095,19.6387
19.5271,16.0113
19.5468,13.217
19.5687,11.0728
19.5928,9.41067
19.6257,7.83822
19.6652,6.57563
19.708,5.66701
19.7573,4.98683
19.8165,4.50992
19.8714,4.30603
19.9065,4.27723
19.9657,4.40608
20.0249,4.78408
20.0924,5.58384
20.1767,7.12571
20.2503,8.4862
20.3063,8.93922
20.3107,8.94217
20.3521,8.72999
20.4153,7.76476
20.5135,5.97497
20.5732,5.23347
20.6258,4.84547
20.696,4.64924
20.7749,4.78441
20.8539,5.2749
20.9131,5.91885
20.9723,6.88924
21.0272,8.21895
21.0732,9.8343
21.1116,11.7246
21.1511,14.4889
21.184,17.8176
21.2114,21.76
21.2366,26.8966
21.2579,33.0208
21.2756,39.968
21.2936,49.3641
21.3108,61.4332
21.3298,79.1479
21.3482,101.751
21.3701,136.431
21.3976,191.81
21.4499,307.102
21.4724,342.758
21.4936,358.641
21.4999,359.503
21.5193,350.699
21.5442,316.984
21.5851,229.549
21.6199,154.381
21.6426,114.685
21.6633,86.5493
21.6805,68.5661
21.6978,54.7795
21.715,44.3546
21.7329,36.2812
21.753,29.571
21.7771,23.8349
21.8007,19.8452
21.8318,16.1215
21.868,13.1362
21.9083,10.8572
21.9566,9.00033
22.0103,7.6338
22.0508,6.92941
22.1049,6.30336
22.159,5.9613
22.213,5.87143
22.2691,6.06143
22.3253,6.62796
22.3674,7.43396
22.4024,8.52954
22.4305,9.89106
22.4516,11.4109
22.4704,13.3666
22.4892,16.2479
22.5057,19.9661
22.5206,24.7784
22.5347,31.1335
22.5488,39.8456
22.5629,51.6026
22.577,67.1172
22.5911,87.0189
22.609,119.161
22.6302,167.047
22.6799,295.017
22.7028,339.565
22.7237,358.845
22.7298,359.885
22.7486,349.722
22.7686,318.754
22.801,240.857
22.8371,148.647
22.8574,106.146
22.8747,77.9082
22.889,59.6678
22.9034,45.6773
22.9178,35.1833
22.9318,27.7291
22.9457,22.2828
22.9596,18.3202
22.9736,15.4267
22.9913,12.8075
23.0106,10.8459
23.0326,9.29566
23.0601,7.97281
23.0966,6.82178
23.1379,5.99735
23.1895,5.40249
23.25,5.14548
23.2941,5.263
23.3326,5.67157
23.367,6.41007
23.4014,7.64128
23.4413,9.74245
23.5024,13.4018
23.5324,14.522
23.5533,14.7636
23.5847,14.2351
23.6229,12.5234
23.6807,9.56859
23.7151,8.38849
23.7482,7.79076
23.7757,7.63126
23.8032,7.71122
23.8476,8.23083
23.892,9.16898
23.9446,10.8786
23.9897,13.0523
24.0283,15.7009
24.0659,19.3479
24.0981,23.7612
24.1281,29.4906
24.1582,37.4655
24.1861,47.6132
24.2151,61.6643
24.2505,84.1456
24.3299,144.123
24.3591,159.505
24.3894,165.47
24.4209,159.244
24.4587,137.859
24.5349,80.2048
24.5681,59.933
24.5971,46.4685
24.6261,36.4829
24.6562,29.0073
24.6873,23.5003
24.7195,19.4524
24.757,16.1405
24.7978,13.6708
24.8429,11.8307
24.888,10.6227
24.9524,9.66158
25.0167,9.39155
25.0813,9.75695
25.1298,10.5068
25.1853,12.0433
25.2325,14.2007
25.2718,16.9513
25.3043,20.2456
25.3367,24.9927
25.3626,30.3559
25.3876,37.4162
25.4126,46.9704
25.4385,60.2156
25.4672,79.4501
25.5033,110.036
25.5607,162.057
25.5933,181.921
25.6195,187.306
25.6467,181.499
25.6793,161.24
25.7635,85.6199
25.7931,64.2307
25.8191,49.7451
25.845,38.8253
25.8686,31.3966
25.8936,25.516
25.9228,20.5145
25.9533,16.7466
25.9867,13.7709
26.0283,11.121
26.07,9.22985
26.12,7.59401
26.1737,6.3333
26.2448,5.15716
26.316,4.33505
26.4014,3.63952
26.504,3.07814
26.5895,2.76379
26.7262,2.46365
26.8174,2.38131
26.863,2.3768
26.9428,2.44076
27.0073,2.58292
27.0643,2.80895
27.1213,3.17619
27.1811,3.77816
27.2495,4.78342
27.3371,6.24135
27.3857,6.7389
27.4112,6.81754
27.4556,6.62715
27.5148,5.88197
27.606,4.52175
27.6683,3.88923
27.7215,3.59077
27.7747,3.47833
27.8355,3.53737
27.8962,3.78042
27.968,4.33092
28.0308,5.12343
28.0846,6.13743
28.1369,7.54815
28.1888,9.50476
28.2417,12.1952
28.3697,20.2855
28.4158,22.1863
28.45,22.6366
28.491,21.9642
28.5457,19.3673
28.6603,12.0901
28.7139,9.42986
28.7663,7.52468
28.8186,6.17912
28.8688,5.27653
28.9329,4.5106
28.997,4.04734
29.0569,3.81552
29.1167,3.74456
29.1779,3.83257
29.2532,4.20042
29.31,4.738
29.3597,5.48899
29.4022,6.45127
29.4448,7.86147
29.481,9.57388
29.5158,11.8279
29.5527,15.0279
29.5953,19.8036
29.6853,31.1198
29.7182,33.7998
29.7497,34.7025
29.7841,33.6107
29.8272,29.6487
29.9218,17.6769
29.9625,13.5411
30.0014,10.5888
30.0347,8.73394
30.0762,7.07864
30.1177,5.93855
30.167,5.02471
30.2201,4.38396
30.2732,3.97714
30.3441,3.67763
30.4149,3.57483
30.4946,3.64267
30.6009,4.00875
30.7027,4.67819
30.8015,5.68064
30.9197,7.36372
31.0476,9.3795
31.1138,10.1101
31.1757,10.3607
31.2462,10.0475
31.3456,8.75232
31.5099,6.09618
31.6125,4.84824
31.6942,4.15035
31.7822,3.6504
31.8877,3.33836
31.9581,3.29202
32.0388,3.41396
32.1195,3.78123
32.1733,4.22741
32.225,4.89193
32.2681,5.71608
32.3111,6.92236
32.3482,8.42248
32.3853,10.5461
32.4197,13.2724
32.4554,17.0439
32.4991,22.9756
32.5801,35.2078
32.6203,39.1728
32.6497,40.1124
32.6818,39.0088
32.722,34.9186
32.8168,21.3188
32.8486,17.9107
32.8764,15.9225
32.9042,14.8979
32.924,14.6954
33.0153,15.9114
33.0509,15.3155
33.0816,13.8211
33.1388,9.59741
33.1764,6.90639
33.2057,5.27809
33.23,4.26816
33.2547,3.526
33.2794,3.00331
33.3103,2.56234
33.3515,2.19064
33.4092,1.87077
33.4916,1.58363
33.5925,1.35493
33.7221,1.16465
33.8702,1.02992
34.0183,0.949238
34.2529,0.892663
34.3393,0.889443
34.5738,0.923452
34.7496,0.994033
34.9379,1.12737
35.1107,1.32775
35.2464,1.5687
35.3699,1.89008
35.4701,2.26381
35.5673,2.77699
35.6553,3.43973
35.7309,4.2396
35.8034,5.30226
35.8728,6.69933
35.9475,8.73432
36.0438,12.1581
36.1462,15.833
36.1956,16.9571
36.241,17.3206
36.2943,16.8416
36.3622,15.0652
36.5214,9.50732
36.5941,7.59984
36.6519,6.48503
36.7206,5.54919
36.7808,4.99891
36.8711,4.51968
36.9847,4.31262
37.0248,4.30369
37.1586,4.33366
37.2967,4.17475
37.4305,3.68678
37.6935,2.41566
37.8272,1.92142
37.9609,1.5627
38.0946,1.30938
38.2506,1.10832
38.4178,0.971759
38.585,0.895831
38.741,0.873584
38.868,0.894869
38.995,0.967129
39.0926,1.07922
39.1658,1.21701
39.2451,1.44932
39.3109,1.73679
39.3912,2.22535
39.5219,3.12826
39.5787,3.34668
39.6035,3.3761
39.6624,3.27856
39.7405,2.89053
39.8439,2.3227
39.9083,2.09559
39.9708,1.99549
39.9903,1.98773
40.0606,2.04942
40.1309,2.25743
40.1968,2.61246
40.2517,3.06541
40.3066,3.71041
40.3638,4.64496
40.4325,6.16284
40.5556,9.3483
40.608,10.2445
40.6496,10.4781
40.692,10.2215
40.7492,9.19187
40.8942,5.43675
40.9529,4.24256
41.0101,3.37485
41.0705,2.72265
41.1288,2.28201
41.201,1.91699
41.2699,1.69841
41.3526,1.55898
41.4139,1.5276
41.4636,1.54357
41.5506,1.65415
41.7314,2.01459
41.7853,2.04763
41.849,1.99247
41.9495,1.73659
42.0942,1.30599
42.1861,1.12308
42.278,1.02149
42.376,0.988364
42.4562,1.01495
42.5363,1.0969
42.6076,1.2325
42.679,1.45372
42.7432,1.75575
42.8098,2.19638
42.9587,3.43472
