93-Np-238(n,total fission) ENDF/B-VII.1
1.0E-5,108376.0
1.31241E-5,94601.6
1.70876E-5,82907.1
2.2426E-5,72370.6
2.91987E-5,63424.7
3.83206E-5,55363.6
4.98935E-5,48520.3
6.54808E-5,42354.0
8.52562E-5,37119.8
1.11891E-4,32402.6
1.45682E-4,28397.8
1.91195E-4,24790.2
2.48937E-4,21727.0
3.26707E-4,18966.1
4.25373E-4,16623.1
5.58264E-4,14511.8
7.26861E-4,12720.5
9.53941E-4,11105.9
0.00124203,9735.0
0.00163006,8500.54
0.00212234,7453.06
0.00278538,6509.56
0.00362657,5709.91
0.00475955,4998.51
0.00619694,4386.37
0.00813293,3834.61
0.0105891,3372.55
0.0138972,2949.23
0.0180942,2593.43
0.0234661,2292.85
0.0253,2211.0
0.033204,1942.16
0.0432317,1714.76
0.0567377,1513.09
0.0738726,1344.07
0.0969512,1193.07
0.138572,1021.43
0.205356,850.188
0.306584,670.76
0.400836,546.396
0.478921,472.411
0.54505,430.789
0.62498,407.049
0.651623,405.476
0.722035,418.611
0.798352,464.327
0.858422,530.692
0.919977,631.134
1.03908,886.5
1.08259,948.45
1.1087,959.62
1.15221,926.249
1.20768,807.965
1.30884,544.859
1.36731,429.89
1.4187,356.668
1.46543,309.303
1.5175,274.105
1.56957,254.358
1.62236,247.882
1.68412,255.238
1.79346,279.705
1.80155,279.92
1.8461,272.592
1.90684,241.578
2.00833,177.68
2.0668,152.447
2.11691,140.757
2.13868,139.32
2.17342,144.493
2.1932,154.424
2.21299,173.305
2.23324,205.734
2.2656,272.546
2.27817,288.0
2.28546,290.549
2.29827,282.632
2.31964,244.489
2.34534,194.538
2.36096,174.253
2.3797,160.498
2.40388,155.131
2.43065,160.244
2.46124,176.847
2.53089,233.918
2.55725,242.57
2.57983,237.643
2.65003,192.072
2.69152,175.836
2.73301,170.76
2.87685,177.91
3.04835,165.319
3.08971,169.04
3.13108,181.313
3.17122,203.652
3.25176,263.463
3.28403,272.394
3.31478,264.488
3.39292,215.508
3.43507,204.33
3.50175,208.735
3.53452,202.315
3.56843,181.759
3.64302,119.728
3.67918,97.1391
3.71648,80.7467
3.75886,68.6341
3.80124,61.6146
3.84023,58.8876
3.85323,58.774
3.88959,60.8645
3.92594,67.2153
3.9732,81.9292
4.00774,92.5519
4.03336,95.4901
4.06045,91.9297
4.13384,67.9624
4.15633,63.358
4.18496,61.4386
4.20777,63.6362
4.23058,70.2132
4.25102,81.3624
4.26934,97.0807
4.29119,123.874
4.32847,177.379
4.34312,190.7
4.35453,194.241
4.36719,190.286
4.38551,171.844
4.42894,108.356
4.44725,87.8281
4.46557,73.3366
4.48519,63.3276
4.50481,57.546
4.52574,54.8488
4.53359,54.6247
4.5568,56.4072
4.57708,61.36
4.59589,69.7313
4.61471,83.1444
4.63227,101.559
4.65321,131.449
4.68896,188.028
4.70301,201.93
4.71505,206.016
4.73111,199.145
4.75118,174.87
4.78617,121.858
4.80386,101.669
4.82154,88.246
4.84047,80.5697
4.8566,78.506
4.87819,80.9224
4.90286,89.3111
4.95261,111.675
4.97588,115.63
4.99594,112.412
5.02322,99.5157
5.07618,67.3742
5.10326,55.3858
5.13034,47.3737
5.1484,43.8663
5.17517,40.8223
5.20194,39.9642
5.23333,41.5664
5.26471,46.0764
5.34003,63.0771
5.36513,65.0947
5.39359,62.4849
5.46305,46.7831
5.4982,41.6959
5.52623,40.0121
5.53669,39.8807
5.56807,41.0647
5.59946,45.007
5.62532,51.4425
5.64472,59.3702
5.66597,72.4712
5.69061,93.886
5.72096,122.507
5.73949,133.717
5.75526,136.369
5.77576,131.022
5.81399,112.591
5.83846,107.01
5.84528,106.764
5.87256,110.352
5.96,136.065
5.98632,138.468
6.02418,133.589
6.08034,113.235
6.14457,87.6267
6.193,74.2925
6.23337,68.0131
6.27167,65.9891
6.30569,67.4285
6.3477,73.8575
6.3827,83.9004
6.41921,99.8498
6.46347,126.97
6.5261,169.094
6.55233,179.629
6.57121,182.0
6.60217,176.277
6.6392,161.052
6.65,156.865
6.65,116.588
7.31915,111.279
7.91308,107.108
8.60302,102.814
9.5108,97.8866
10.4427,93.4575
11.3264,89.7233
12.5708,85.1487
13.3221,82.7034
14.7464,78.5919
16.3749,74.5658
17.5872,71.9397
19.161,68.9101
21.0398,65.7477
22.9912,62.882
25.2832,59.9501
27.5408,57.4285
30.0,55.0129
32.884,52.5316
35.5098,50.5411
38.6816,48.4131
42.3949,46.2324
46.0407,44.3539
50.0,42.5517
54.3879,40.7885
57.9297,39.5142
63.6795,37.6771
70.0,35.9253
76.5286,34.3488
81.8215,33.212
90.4553,31.577
100.0,30.0224
109.051,28.7418
117.64,27.6662
129.41,26.3702
140.162,25.3323
153.19,24.2245
168.495,23.0912
183.573,22.1167
200.0,21.1833
221.336,20.1319
245.726,19.1023
263.879,18.4307
287.441,17.6558
309.733,17.007
338.156,16.2764
372.89,15.4997
412.449,14.7375
441.802,14.2395
479.795,13.664
521.478,13.1084
579.297,12.4417
636.795,11.8707
700.0,11.3259
765.286,10.8403
818.215,10.4899
904.553,9.98528
1000.0,9.50497
1090.51,9.11943
1216.07,8.65663
1332.21,8.28739
1474.64,7.89469
1637.49,7.50921
1758.72,7.25722
1916.1,6.96598
2000.0,6.82477
2213.36,6.51792
2457.26,6.21593
2638.79,6.01808
2874.41,5.78897
3000.0,5.6777
