93-Np-239(n,&gamma;) ENDF/B-VII.1
1.0E-5,2261.85
1.30374E-5,1980.93
1.71104E-5,1729.17
2.22778E-5,1515.42
2.92376E-5,1322.82
3.80674E-5,1159.31
4.996E-5,1011.98
6.50481E-5,886.895
8.53698E-5,774.186
1.11152E-4,678.498
1.45877E-4,592.279
1.89932E-4,519.079
2.49268E-4,453.121
3.24548E-4,397.124
4.2594E-4,346.667
5.54575E-4,303.826
7.2783E-4,265.223
9.47636E-4,232.448
0.00124369,202.914
0.00161928,177.841
0.00212517,155.244
0.00276697,136.055
0.0036314,118.775
0.00472809,104.095
0.0062052,90.8573
0.00807918,79.6561
0.0106032,69.5332
0.0138054,60.9449
0.0181183,53.1983
0.0244451,45.7942
0.0253,45.014
0.033204,39.2932
0.0432317,34.4318
0.0567377,30.0491
0.0738726,26.3321
0.0969512,22.9812
0.126231,20.139
0.165666,17.577
0.215698,15.4009
0.283085,13.4443
0.353506,12.0253
0.368577,11.9442
0.372504,12.4684
0.374468,13.1802
0.376432,14.4938
0.378396,16.7815
0.380115,19.9856
0.381588,23.9723
0.383061,29.4447
0.384534,36.7558
0.386252,48.0887
0.387971,62.9423
0.389935,84.7484
0.392144,115.757
0.39509,167.116
0.404888,368.158
0.409777,441.907
0.414665,483.412
0.421997,503.428
0.424441,504.428
0.571717,436.785
0.766442,377.113
1.00341,329.639
1.33496,287.858
1.7768,251.348
2.41372,217.143
3.2884,186.815
4.42178,161.631
6.08046,138.032
8.18215,118.741
11.3345,100.409
15.319,85.6336
20.5133,73.4092
27.8368,62.3704
37.289,53.2798
50.0637,45.458
66.765,38.8063
89.3913,33.0408
117.64,28.315
153.19,24.3961
201.519,20.9113
268.145,17.7342
358.571,14.9948
465.179,12.8806
593.165,11.1737
765.286,9.62389
1003.68,8.21809
1332.21,6.97752
1787.21,5.89365
2288.13,5.13774
3000.0,4.43069
4053.82,3.81718
5306.54,3.35068
7000.0,2.96239
10000.0,2.57612
15053.2,2.24456
21495.6,1.99114
41227.0,1.51497
56158.8,1.28115
92369.7,0.899334
111096.0,0.760761
130178.0,0.644908
146963.0,0.578728
180760.0,0.496637
248515.0,0.396998
268519.0,0.36988
348464.0,0.273526
400000.0,0.237707
440963.0,0.224247
648074.0,0.185187
1102350.0,0.108063
1249000.0,0.0899571
1424360.0,0.0752358
1711860.0,0.057541
2066600.0,0.0404079
2270710.0,0.0326744
2500000.0,0.0253906
2735790.0,0.0192732
2942360.0,0.0150471
3177040.0,0.0112075
3366410.0,0.00890502
3611270.0,0.00663122
3799720.0,0.00527941
4015270.0,0.00412167
4236200.0,0.00319683
4462090.0,0.0025026
4700540.0,0.0019685
4963050.0,0.00153705
5201310.0,0.00127074
5500000.0,0.00101801
6000000.0,8.22283E-4
6500000.0,7.57683E-4
7000000.0,7.68609E-4
7500000.0,8.23798E-4
8186070.0,9.79273E-4
9750000.0,0.00142301
1.05E7,0.00156787
1.1E7,0.00159989
1.2E7,0.00155545
1.3E7,0.00145493
1.45E7,0.00114213
1.56868E7,8.8028E-4
1.65E7,7.42031E-4
1.8E7,5.94705E-4
1.9E7,5.19318E-4
2.0E7,4.72932E-4
