91-Pa-231(n,&gamma;) ENDF/B-VII.1
1.0E-5,12558.0
1.31241E-5,10961.5
1.70876E-5,9606.0
2.2426E-5,8384.63
2.91987E-5,7347.56
3.83206E-5,6412.98
4.98935E-5,5619.49
6.54808E-5,4904.37
8.52562E-5,4297.21
1.11891E-4,3749.89
1.45682E-4,3285.03
1.91195E-4,2866.09
2.48937E-4,2510.14
3.26707E-4,2189.07
4.25373E-4,1916.3
5.58264E-4,1670.16
7.26861E-4,1460.97
9.53941E-4,1271.98
0.00124203,1111.07
0.00163006,965.64
0.00212234,841.669
0.00278538,729.384
0.00380384,617.761
0.00518342,522.684
0.0071057,437.282
0.0092902,375.268
0.0126596,312.17
0.0166146,263.423
0.0216322,222.483
0.024383,206.004
0.0253,201.206
0.033204,168.51
0.041464,145.769
0.0516848,127.334
0.0617907,114.82
0.0738726,104.878
0.0883169,97.3695
0.112721,92.081
0.119856,91.7621
0.143291,93.8189
0.171309,102.133
0.196431,115.736
0.219822,135.515
0.239845,160.404
0.258656,194.312
0.274761,236.004
0.287701,282.609
0.301285,351.289
0.312606,432.573
0.322115,527.161
0.331775,661.291
0.340228,826.999
0.348077,1042.87
0.355322,1320.94
0.361963,1669.52
0.368755,2145.09
0.377661,2957.45
0.389374,4086.03
0.394204,4390.31
0.399348,4506.23
0.405313,4340.1
0.411954,3844.71
0.427531,2334.56
0.434263,1825.88
0.441056,1446.1
0.447455,1194.03
0.453854,1025.01
0.460666,920.758
0.465757,888.022
0.468303,885.106
0.474505,911.3
0.489594,1054.8
0.493297,1065.48
0.498814,1037.31
0.505239,938.201
0.522226,550.196
0.5294,423.275
0.53588,339.392
0.54236,278.556
0.550228,226.192
0.559485,183.817
0.568743,154.177
0.580314,128.014
0.5942,106.457
0.608085,91.7073
0.624769,80.1039
0.641453,73.7672
0.655809,72.5109
0.666577,74.7963
0.677857,81.6145
0.685548,90.2875
0.694136,106.128
0.701058,125.934
0.70798,154.397
0.716056,200.28
0.730874,302.439
0.738257,337.034
0.743672,344.322
0.750153,329.959
0.758152,284.458
0.773482,174.55
0.780404,135.487
0.78707,107.104
0.794248,85.0327
0.801427,69.4249
0.809118,57.5664
0.816809,49.0335
0.827063,40.953
0.839882,34.0934
0.851675,29.7023
0.870133,24.9938
0.893976,21.1591
0.918331,18.7211
0.947557,17.0014
0.97377,16.2647
0.990241,16.1425
1.02122,16.66
1.04445,17.8301
1.07067,20.336
1.08914,23.2742
1.10762,27.8192
1.12121,32.8222
1.13309,39.0433
1.1443,47.4171
1.15354,57.1708
1.16278,71.0058
1.17043,87.2437
1.17782,109.136
1.18469,137.301
1.19115,173.109
1.19841,226.429
1.20633,301.068
1.22322,482.082
1.2304,535.708
1.2377,555.066
1.24518,532.675
1.25405,460.557
1.27284,260.366
1.28049,195.871
1.28762,150.147
1.29448,117.519
1.30095,94.778
1.30794,76.6027
1.31626,61.0484
1.32457,49.9011
1.33473,40.1455
1.34634,32.3141
1.35888,26.3477
1.37366,21.382
1.38897,17.7283
1.40639,14.7376
1.42803,12.1136
1.45337,9.99368
1.48293,8.3083
1.51454,7.08027
1.55315,6.0765
1.59948,5.31911
1.65173,4.86904
1.68854,4.77393
1.72305,4.87525
1.75756,5.235
1.78344,5.77725
1.805,6.5322
1.82226,7.46862
1.83865,8.81927
1.85274,10.5872
1.86453,12.7984
1.87459,15.5575
1.88293,18.7943
1.89099,23.1284
1.89904,29.1184
1.90723,37.4336
1.91629,49.6639
1.92906,71.6693
1.94252,95.4469
1.95218,106.891
1.95972,109.772
1.96828,105.744
1.9784,92.5801
2.0017,51.4359
2.01119,38.1898
2.01895,29.938
2.02671,23.7439
2.03477,19.0373
2.04253,15.7209
2.0526,12.6533
2.06323,10.4034
2.07531,8.6216
2.0894,7.18126
2.10464,6.0977
2.12334,5.17745
2.14577,4.43
2.17625,3.77246
2.21075,3.30812
2.24526,3.01333
2.29789,2.75292
2.35051,2.63307
2.38559,2.61111
2.45321,2.69673
2.50392,2.9004
2.55009,3.26075
2.58424,3.72545
2.60668,4.19495
2.6301,4.92614
2.64961,5.8587
2.66571,7.01903
2.67888,8.42652
2.68985,10.1345
2.7001,12.4566
2.70863,15.2409
2.71705,19.1261
2.72473,24.0653
2.73241,30.7519
2.74034,39.8565
2.7501,54.3215
2.77478,98.2345
2.78424,110.025
2.79384,114.287
2.80141,111.352
2.81098,100.581
2.82815,70.5478
2.8412,48.2948
2.84973,36.7248
2.85717,28.8587
2.86485,22.6911
2.87303,17.9031
2.88156,14.3555
2.88985,11.9101
2.89864,10.0498
2.90961,8.41294
2.92278,7.07608
2.93937,5.96465
2.9601,5.08374
2.98083,4.52642
3.00864,4.07206
3.04766,3.76144
3.08669,3.68205
3.14284,3.85672
3.18963,4.27108
3.22706,4.85052
3.25888,5.62305
3.28584,6.61683
3.3083,7.84599
3.32717,9.35072
3.34289,11.1517
3.35547,13.1772
3.3676,15.9356
3.37838,19.4726
3.38737,23.6753
3.39545,28.9523
3.40354,36.2919
3.41118,45.85
3.41904,59.2002
3.4269,76.9223
3.43589,103.159
3.44802,147.81
3.46778,225.497
3.47722,251.341
3.48644,261.955
3.48775,262.108
3.49663,254.169
3.50597,230.811
3.52282,166.671
3.53742,110.855
3.5464,83.2441
3.55471,63.3251
3.56258,49.0827
3.57021,38.8102
3.57808,31.0822
3.58594,25.4843
3.5947,21.0092
3.60458,17.4562
3.61694,14.4193
3.63176,12.0029
3.64973,10.1027
3.67219,8.62223
3.69466,7.72015
3.71937,7.13684
3.75081,6.7988
3.76654,6.75681
3.8107,7.01692
3.85486,7.8598
3.8843,8.85787
3.91376,10.4136
3.93901,12.4893
3.95753,14.7589
3.97226,17.3251
3.987,21.0292
3.99878,25.3816
4.00825,30.3689
4.01772,37.4649
4.02625,46.5722
4.03414,58.3088
4.04171,73.6037
4.04929,93.8904
4.05781,123.781
4.06781,169.039
4.08422,261.889
4.10013,349.973
4.11057,387.921
4.1198,399.5
4.13077,383.441
4.14273,334.787
4.17072,178.828
4.18114,132.254
4.19029,101.184
4.19871,80.2874
4.20629,66.8039
4.21359,57.6816
4.22272,50.4442
4.23002,47.2809
4.23802,46.026
4.24777,47.3613
4.25752,52.0038
4.26651,59.7667
4.27526,71.2535
4.28401,87.39
4.29414,112.554
4.30726,155.017
4.3326,245.626
4.345,273.536
4.35376,279.641
4.3636,271.496
4.3765,239.989
4.40824,127.556
4.41874,98.2534
4.42749,79.7613
4.43499,68.1224
4.44248,60.0521
4.44998,55.1939
4.45953,53.1611
4.46646,54.3305
4.47772,60.4852
4.49096,73.238
4.51428,100.42
4.52805,110.299
4.53466,111.533
4.5466,107.236
4.56028,93.4969
4.59009,53.3648
4.60223,40.6682
4.61327,32.2845
4.62431,26.5471
4.63645,22.5355
4.64859,20.1464
4.66316,18.5857
4.68436,17.7213
4.6923,17.6608
4.71615,18.0552
4.74794,19.6614
4.77835,22.3424
4.80877,26.4497
4.83734,32.2258
4.86183,39.5222
4.88173,48.0242
4.89959,58.8377
4.91489,71.9985
4.92714,86.701
4.93938,107.37
4.94908,130.293
4.95826,160.04
4.96745,200.981
4.97586,252.023
4.98479,324.748
4.99347,418.087
5.00367,560.975
5.01592,780.122
5.04551,1394.99
5.05775,1571.97
5.06957,1634.72
5.08163,1573.12
5.09449,1387.07
5.12766,712.251
5.13926,523.077
5.14845,407.413
5.15725,323.431
5.16618,261.539
5.17429,222.188
5.18143,198.509
5.19001,181.402
5.19929,174.742
5.21001,180.474
5.21858,194.365
5.2309,226.709
5.2625,335.426
5.27729,364.417
