91-Pa-231(n,total fission) ENDF/B-VII.1
1.0E-5,1.04518
1.31241E-5,0.912337
1.70876E-5,0.799553
2.2426E-5,0.697936
2.91987E-5,0.611658
3.83206E-5,0.533914
4.98935E-5,0.467914
6.54808E-5,0.408443
8.52562E-5,0.35796
1.11891E-4,0.312463
1.45682E-4,0.273836
1.91195E-4,0.239039
2.48937E-4,0.209492
3.26707E-4,0.18286
4.25373E-4,0.160256
5.58264E-4,0.139885
7.26861E-4,0.122601
9.53941E-4,0.107018
0.00124203,0.0937852
0.00163006,0.0818661
0.00212234,0.0717483
0.00278538,0.0626313
0.00362657,0.0549015
0.00475955,0.0480163
0.00619694,0.042089
0.00813293,0.0367428
0.0105891,0.0322578
0.0138972,0.0281461
0.0180942,0.0246604
0.0234661,0.0216856
0.0253,0.020911
0.033204,0.0183216
0.0432317,0.0161336
0.0567377,0.014245
0.0738726,0.0126579
0.0969512,0.0113186
0.126231,0.0103359
0.165666,0.0097342
0.182647,0.00967094
0.21836,0.00994691
0.250382,0.0108407
0.268623,0.0118215
0.28754,0.0134808
0.303399,0.0157549
0.315474,0.0184346
0.32604,0.0219222
0.335096,0.0262998
0.342794,0.0316217
0.35019,0.038881
0.356529,0.0475911
0.362567,0.0589092
0.369238,0.0759392
0.376212,0.0995791
0.391547,0.161357
0.397585,0.17784
0.403381,0.183394
0.408694,0.179248
0.417268,0.15967
0.429886,0.125957
0.436226,0.114099
0.442565,0.10711
0.448904,0.105198
0.456289,0.109807
0.463674,0.122774
0.47145,0.146248
0.484781,0.197385
0.490705,0.210605
0.493482,0.211895
0.499222,0.202995
0.505702,0.176625
0.519587,0.102039
0.525234,0.0779508
0.530441,0.0610255
0.535417,0.0490027
0.541087,0.0391195
0.546294,0.0326316
0.55208,0.0274256
0.559023,0.0230409
0.565965,0.0199848
0.575223,0.017215
0.585868,0.0151773
0.596977,0.013862
0.611788,0.0129275
0.627096,0.0126557
0.644016,0.0130627
0.659911,0.0142403
0.67273,0.0160354
0.682984,0.0183687
0.691957,0.0214744
0.70093,0.0261048
0.709903,0.0327849
0.728413,0.0505513
0.734771,0.0544748
0.739078,0.0552913
0.745108,0.0534571
0.752204,0.0472509
0.769586,0.0255103
0.77579,0.0193155
0.781686,0.0148441
0.78707,0.0118359
0.792454,0.00964199
0.797837,0.00805705
0.804759,0.00664531
0.811681,0.00570279
0.819372,0.00500503
0.829627,0.00442415
0.838856,0.00410742
0.852188,0.0038483
0.879363,0.00368226
0.910127,0.00374946
0.958159,0.00409329
1.00996,0.00473962
1.04164,0.00534975
1.07331,0.00625744
1.09944,0.00741115
1.1195,0.00875719
1.13718,0.0105526
1.15038,0.0125515
1.16225,0.0151919
1.17149,0.018151
1.18033,0.0221396
1.18865,0.0273531
1.19762,0.0349656
1.21974,0.0587852
1.22596,0.0633709
1.23335,0.0650589
1.23969,0.0626568
1.24602,0.0569587
1.25764,0.0413829
1.26809,0.0270689
1.27495,0.0194675
1.28076,0.014446
1.28604,0.0109291
1.29131,0.00825657
1.29606,0.00643193
1.30108,0.00496899
1.30636,0.00381788
1.31164,0.00296113
1.31692,0.00231923
1.32219,0.00183443
1.32813,0.00142578
1.33433,0.00111095
1.34067,8.74508E-4
1.347,7.00542E-4
1.35347,5.70283E-4
1.36099,4.62824E-4
1.36891,3.86869E-4
1.37524,3.4625E-4
1.38475,3.09648E-4
1.39425,2.93993E-4
1.39873,2.91942E-4
1.41219,3.00327E-4
1.43014,3.33391E-4
1.47158,4.48817E-4
1.57895,7.60899E-4
1.7357,0.00117743
1.79091,0.00138665
1.82312,0.00157217
1.84986,0.00181034
1.86683,0.00204131
1.88408,0.00239763
1.89846,0.00284668
1.91859,0.00374243
1.93343,0.00438265
1.94344,0.00456841
1.95218,0.00444825
1.96184,0.00398361
1.97426,0.00302546
1.98789,0.00190761
1.99566,0.00139098
2.00206,0.00106115
2.00788,8.35475E-4
2.01306,6.87796E-4
2.01823,5.81735E-4
2.02355,5.07341E-4
2.03031,4.50496E-4
2.03764,4.21407E-4
2.04742,4.1394E-4
2.06467,4.39659E-4
2.12276,5.69691E-4
2.1774,6.556E-4
2.25216,7.26136E-4
