94-Pu-243(n,&gamma;) ENDF/B-VII.1
1.0E-5,4520.11
1.31241E-5,3945.61
1.70876E-5,3457.84
2.2426E-5,3018.36
2.91987E-5,2645.23
3.83206E-5,2308.99
4.98935E-5,2023.55
6.54808E-5,1766.34
8.52562E-5,1548.0
1.11891E-4,1351.22
1.45682E-4,1184.15
1.91195E-4,1033.65
2.48937E-4,905.838
3.26707E-4,790.635
4.25373E-4,692.853
5.58264E-4,604.721
7.26861E-4,529.932
9.53941E-4,462.499
0.00124203,405.221
0.00163006,353.613
0.00212234,309.793
0.00278538,270.284
0.00362657,236.756
0.00475955,206.891
0.00619694,181.132
0.00813293,157.851
0.0105891,138.287
0.0138972,120.276
0.0180942,105.044
0.0234661,92.0331
0.0253,88.3989
0.033204,76.6009
0.0453449,65.0367
0.0617907,55.0225
0.0847058,46.2892
0.110747,39.7696
0.15829,32.2901
0.206879,27.4698
0.270479,23.2261
0.353506,19.6069
0.440644,17.0737
0.52268,15.3743
0.62488,14.0069
0.743,13.161
0.81644,12.9986
0.9266,13.3312
1.00922,14.1624
1.09184,15.7325
1.16161,17.9378
1.22036,20.8297
1.27085,24.5386
1.31583,29.374
1.35439,35.3622
1.38789,42.7662
1.41681,51.7182
1.44527,64.2392
1.46914,79.243
1.49025,97.9571
1.50861,120.759
1.52605,151.253
1.54051,186.656
1.55405,232.671
1.5653,285.05
1.57654,356.368
1.58756,452.513
1.59858,584.433
1.61005,769.349
1.62501,1080.65
1.64191,1445.58
1.65219,1592.82
1.66016,1632.17
1.66908,1587.88
1.67918,1439.62
1.70965,786.859
1.72113,595.2
1.73146,464.853
1.74178,367.723
1.7528,291.635
1.76382,235.808
1.77667,188.25
1.79136,149.365
1.80765,118.749
1.82417,96.4147
1.84391,77.1766
1.86663,61.4779
1.89234,48.9739
1.91804,40.0393
1.94833,32.4271
1.98046,26.5976
2.02086,21.3765
2.06492,17.3804
2.11816,14.0164
2.17279,11.6123
2.23475,9.67507
2.31507,7.93489
2.3954,6.74388
2.4872,5.79945
2.579,5.14327
2.7167,4.50816
2.87172,4.13332
3.01772,4.02121
3.15602,4.13431
3.25744,4.37949
3.36808,4.86676
3.45106,5.45504
3.53404,6.34264
3.60319,7.44041
3.65943,8.70271
3.71844,10.6045
3.76823,12.9452
3.81248,15.9434
3.85121,19.7118
3.8844,24.3046
3.91344,29.963
3.94018,37.3315
3.96277,46.1153
3.9819,56.4293
3.99965,69.6587
4.01602,86.7026
4.03054,107.859
4.04298,132.82
4.05589,168.511
4.06719,211.216
4.07848,268.089
4.09093,350.619
4.10476,467.664
4.13666,773.56
4.14846,849.74
4.16056,878.227
4.17059,858.47
4.18313,784.099
4.20479,581.253
4.22439,397.25
4.23753,299.605
4.24997,229.199
4.26173,179.802
4.27302,144.553
4.28478,117.257
4.29723,95.8077
4.31175,77.4489
4.32696,63.4006
4.34632,50.5183
4.36661,40.9005
4.38919,33.1732
4.41639,26.5358
4.44405,21.7006
4.47632,17.6191
4.5132,14.283
4.55193,11.7642
4.60033,9.51989
4.65289,7.80932
4.7142,6.41138
4.78335,5.30891
4.8525,4.53096
4.947,3.79932
5.05995,3.23757
5.15676,2.92875
5.28287,2.68769
5.43448,2.57803
5.45999,2.57626
5.598,2.65502
5.736,2.90458
5.83313,3.22334
5.93025,3.7227
6.01535,4.39235
6.08658,5.21968
6.14762,6.23249
6.2022,7.51625
6.254,9.26601
6.2984,11.4248
6.33725,14.1185
6.3724,17.5965
6.402,21.754
6.42744,26.7585
6.4501,32.9777
6.46952,40.3751
6.48756,49.918
6.50375,61.8925
6.51855,77.1841
6.5315,95.6064
6.54422,120.19
6.55717,154.111
6.56989,198.423
6.58515,268.003
6.60689,394.147
6.63288,547.585
6.64842,606.646
6.66056,621.948
6.67432,602.654
6.6906,536.204
6.73269,286.481
6.74749,214.812
6.76044,165.894
6.77339,128.794
6.78518,103.453
6.79767,83.3569
6.81224,66.2712
6.8275,53.4322
6.84415,43.3334
6.86404,34.7189
6.8867,27.7939
6.9126,22.2246
6.94035,17.9926
6.97272,14.4775
7.0088,11.7011
7.04765,9.56543
7.09298,7.78675
7.1457,6.33112
7.20721,5.15326
7.27381,4.26518
7.35475,3.52347
7.438,3.00449
7.549,2.55039
7.66,2.26956
7.75817,2.11936
7.88051,2.03044
7.94168,2.02037
8.06507,2.07168
8.18846,2.22987
8.30318,2.50531
8.40055,2.88397
8.4817,3.35732
8.54893,3.91738
8.61385,4.67928
8.66949,5.59805
8.7205,6.78185
8.76918,8.3952
8.8086,10.2494
8.84569,12.7116
8.87908,15.8801
8.90504,19.3413
8.93008,24.0011
8.9528,30.0314
8.97228,37.4149
8.98944,46.6289
9.00335,56.9357
9.01818,72.034
9.03117,90.068
9.04392,113.568
9.05853,149.22
9.07383,197.887
9.09516,283.462
9.12539,413.493
9.14431,470.428
9.16055,487.615
9.17435,475.406
9.19068,432.386
9.21896,315.483
9.24354,212.741
9.25907,160.363
9.27368,122.007
9.28759,94.4513
9.30011,75.8153
9.31471,59.7328
9.32793,49.0505
9.34462,39.2066
9.36131,32.1247
9.38079,26.1341
9.40351,21.1309
9.42716,17.3734
9.45498,14.162
9.48744,11.4741
9.52639,9.19707
9.56534,7.57633
9.6117,6.19023
9.66457,5.0719
9.72902,4.12311
9.79857,3.41459
9.87972,2.84663
9.9655,2.43798
10.0698,2.10917
10.195,1.87152
10.3306,1.74503
10.4244,1.7196
10.5531,1.76155
10.6819,1.90425
10.8002,2.15486
10.8978,2.49118
10.9791,2.91144
11.0465,3.40895
11.1116,4.08674
11.1674,4.90659
11.2185,5.96593
11.2603,7.1737
11.3021,8.86343
11.3393,11.0069
11.37,13.5044
11.396,16.445
11.4183,19.9042
11.4383,24.1443
11.4578,29.9094
11.4741,36.5984
11.4904,45.88
11.5043,56.8012
11.5187,72.0581
11.5336,93.3523
11.5492,123.093
11.567,167.771
11.5917,245.186
11.6243,350.468
11.6433,391.022
11.6596,403.078
11.6741,393.632
11.6923,357.594
11.7218,265.246
11.7492,176.878
11.7669,130.837
11.7815,100.93
11.7969,77.0685
11.8115,60.2229
11.825,48.694
11.8403,39.0086
11.8557,31.935
11.8738,25.8653
11.8933,21.1632
11.9175,17.0141
11.9454,13.656
11.9779,10.9186
12.0095,9.01908
12.0485,7.32527
12.0941,5.92991
12.1471,4.79783
12.2089,3.88763
12.2758,3.20645
12.3571,2.64039
12.4501,2.21107
12.543,1.92679
12.636,1.73788
12.7754,1.5764
12.9235,1.52316
13.0761,1.58016
13.1905,1.70833
13.3031,1.9324
13.3963,2.22628
13.4894,2.67601
13.5639,3.21605
13.6291,3.90139
13.6827,4.70222
13.7316,5.73302
13.7735,6.97439
13.8107,8.51393
13.8433,10.3892
13.8731,12.7876
13.8992,15.7448
13.9216,19.307
13.9411,23.6626
13.9574,28.6477
13.9737,35.4644
13.99,44.9225
14.004,55.9337
14.0184,71.0071
14.0333,91.4249
14.0506,122.119
14.0725,172.069
14.1201,296.265
14.1391,330.732
14.1596,344.638
14.179,332.275
14.201,292.291
14.255,152.624
14.2736,113.058
14.2909,84.5098
14.3055,65.9705
14.3202,51.9144
14.3356,40.9944
14.3509,32.9932
14.3677,26.6402
14.3873,21.3576
14.4068,17.5803
14.432,14.1188
14.4599,11.419
14.4934,9.14717
14.527,7.53188
14.5661,6.17038
14.6126,5.01782
14.6657,4.09517
14.7188,3.43664
14.7887,2.82282
14.8585,2.39394
14.9517,2.00338
15.0448,1.74539
15.1379,1.57451
15.2776,1.42956
15.4089,1.3844
15.5422,1.41659
15.6755,1.53708
15.797,1.75082
15.8949,2.03286
15.9766,2.38586
16.0536,2.87465
16.1189,3.47797
16.1748,4.21698
16.2238,5.13312
16.2658,6.23508
16.3055,7.70277
16.3381,9.40727
16.3689,11.6811
16.395,14.44
16.4174,17.8001
16.4375,22.0633
16.4538,26.8703
16.4701,33.4339
16.4851,41.5689
16.5014,53.6051
16.5182,70.3744
16.535,92.4966
16.5553,126.946
16.5863,192.69
16.6201,263.67
16.6432,294.593
16.6598,301.578
16.6779,293.041
16.6973,267.122
16.73,199.833
16.7636,128.266
16.7832,94.6635
16.7999,72.0844
16.8167,54.8843
16.8307,44.0357
16.8447,35.7273
16.8615,28.3259
16.8779,23.0917
16.8974,18.5646
16.9184,15.121
16.9418,12.383
16.9698,10.0433
16.9996,8.25885
17.0332,6.80414
17.0724,5.57957
17.1134,4.64954
17.1666,3.78762
17.2198,3.17443
17.2898,2.60459
17.3598,2.20733
17.4531,1.84623
17.5464,1.60823
17.6397,1.45102
17.7796,1.3185
17.9089,1.27859
18.0416,1.30938
18.1743,1.42164
18.2955,1.62037
18.3936,1.88374
18.4754,2.21379
18.5525,2.67153
18.6179,3.23797
18.674,3.93409
18.7231,4.80033
18.7651,5.84748
18.8048,7.25213
18.8376,8.89973
18.8647,10.8104
18.8908,13.4204
18.9133,16.6298
18.9305,20.0641
18.9469,24.4524
18.9633,30.4048
18.9801,38.7722
18.9964,49.7989
19.0123,63.9334
19.031,85.6242
19.0535,119.217
19.1159,231.833
19.1391,259.893
19.1598,268.585
19.1791,260.889
19.2011,235.436
19.2385,169.121
19.2708,111.6
19.2913,82.0862
19.3081,63.0941
19.3233,49.7021
19.3387,39.2384
19.3542,31.3367
19.3717,24.7336
19.388,20.2404
19.4077,16.327
19.4282,13.3929
19.4516,10.9938
19.4796,8.94233
19.5114,7.29362
19.5507,5.86258
19.5876,4.8998
19.632,4.05482
19.6853,3.33148
19.7441,2.76591
19.8142,2.29346
19.8843,1.96131
19.9778,1.6576
20.0946,1.41877
20.2348,1.26074
20.3453,1.20456
20.409,1.19467
20.5411,1.22405
20.6732,1.32935
20.7941,1.51561
20.8924,1.76357
20.9743,2.07476
21.0515,2.5071
21.117,3.04353
21.1732,3.70498
21.2224,4.53142
21.2645,5.5359
21.2996,6.70618
21.3324,8.2378
21.3604,10.0984
21.3829,12.1745
21.4054,15.0839
21.4236,18.3874
21.44,22.4068
21.4564,27.8191
21.4728,35.1068
21.4892,44.8275
21.5055,57.5494
21.5252,77.4135
21.5467,105.16
21.6117,206.382
21.6315,229.153
21.6548,241.823
21.6598,242.236
21.684,232.432
21.7106,202.459
21.7742,103.209
21.7957,75.9102
21.8147,57.0386
21.8313,44.2872
21.8468,35.1745
21.8622,28.2193
21.8786,22.6837
21.895,18.5697
21.9146,14.9705
21.9333,12.4804
21.9568,10.2161
21.9848,8.29346
22.0176,6.72057
22.0569,5.40588
22.0972,4.4563
22.1416,3.69966
22.195,3.0499
22.2568,2.52
22.327,2.09944
22.4089,1.76234
22.5025,1.50465
22.5961,1.33467
22.7365,1.18659
22.8462,1.13476
22.9091,1.12585
23.0407,1.15403
23.1723,1.25356
23.2928,1.42947
23.3913,1.66469
23.4733,1.9603
23.5506,2.37175
23.6162,2.88365
23.6725,3.51703
23.7217,4.31183
23.7639,5.28361
23.7991,6.42512
23.8319,7.93655
23.86,9.80009
