94-Pu-243(n,total fission) ENDF/B-VII.1
1.0E-5,9306.33
1.31241E-5,8123.5
1.70876E-5,7119.24
2.2426E-5,6214.42
2.91987E-5,5446.17
3.83206E-5,4753.91
4.98935E-5,4166.23
6.54808E-5,3636.66
8.52562E-5,3187.13
1.11891E-4,2781.99
1.45682E-4,2438.02
1.91195E-4,2128.14
2.48937E-4,1865.0
3.26707E-4,1627.81
4.25373E-4,1426.49
5.58264E-4,1245.04
7.26861E-4,1091.06
9.53941E-4,952.224
0.00124203,834.296
0.00163006,728.043
0.00212234,637.822
0.00278538,556.479
0.00362657,487.448
0.00475955,425.96
0.00619694,372.925
0.00813293,324.991
0.0105891,284.711
0.0138972,247.628
0.0180942,216.267
0.0234661,189.479
0.0253,181.996
0.033204,157.705
0.0453449,133.895
0.0617907,113.276
0.0847058,95.2936
0.110747,81.8691
0.15829,66.4675
0.206879,56.541
0.270479,47.8011
0.353506,40.346
0.440644,35.1266
0.52268,31.6238
0.62488,28.8028
0.743,27.0526
0.81644,26.7111
0.9266,27.3816
1.00922,29.0776
1.09184,32.2882
1.16161,36.8013
1.22036,42.7222
1.27085,50.3173
1.31583,60.2206
1.35439,72.4858
1.38789,87.6515
1.41681,105.989
1.44527,131.637
1.46914,162.372
1.49025,200.707
1.50861,247.416
1.52605,309.882
1.54051,382.406
1.55405,476.668
1.5653,583.968
1.57654,730.063
1.58756,927.016
1.59858,1197.26
1.61005,1576.06
1.62501,2213.76
1.64191,2961.32
1.65219,3262.95
1.66016,3343.56
1.66908,3252.83
1.67918,2949.12
1.70965,1611.93
1.72113,1219.31
1.73146,952.292
1.74178,753.32
1.7528,597.451
1.76382,483.088
1.77667,385.664
1.79136,306.008
1.80765,243.289
1.82417,197.537
1.84391,158.127
1.86663,125.968
1.89234,100.353
1.91804,82.0493
1.94833,66.4549
1.98046,54.5124
2.02086,43.8163
2.06492,35.6293
2.11816,28.7372
2.17279,23.8113
2.23475,19.842
2.31507,16.276
2.3954,13.8351
2.4872,11.8992
2.579,10.554
2.7167,9.25146
2.87172,8.48215
3.01772,8.25128
3.15602,8.48195
3.25744,8.98355
3.36808,9.98103
3.45106,11.1857
3.53404,13.0035
3.60319,15.2519
3.65943,17.8375
3.71844,21.733
3.76823,26.5278
3.81248,32.6693
3.85121,40.3888
3.8844,49.7972
3.91344,61.3884
3.94018,76.4828
3.96277,94.4764
3.9819,115.605
3.99965,142.705
4.01602,177.62
4.03054,220.96
4.04298,272.093
4.05589,345.206
4.06719,432.688
4.07848,549.193
4.09093,718.257
4.10476,958.024
4.13666,1584.66
4.14846,1740.71
4.16056,1799.07
4.17059,1758.6
4.18313,1606.25
4.20479,1190.71
4.22439,813.779
4.23753,613.753
4.24997,469.525
4.26173,368.334
4.27302,296.127
4.28478,240.211
4.29723,196.271
4.31175,158.663
4.32696,129.884
4.34632,103.495
4.36661,83.7924
4.38919,67.963
4.41639,54.3659
4.44405,44.4608
4.47632,36.0999
4.5132,29.2656
4.55193,24.1058
4.60033,19.5081
4.65289,16.0038
4.7142,13.14
4.78335,10.8814
4.8525,9.28758
4.947,7.7886
5.05995,6.63761
5.15676,6.00478
5.28287,5.51073
5.43448,5.28583
5.45999,5.28215
5.598,5.44328
5.736,5.95429
5.83313,6.60715
5.93025,7.62996
6.01535,9.00163
6.08658,10.6963
6.14762,12.771
6.2022,15.4008
6.254,18.9851
6.2984,23.4074
6.33725,28.9254
6.3724,36.0501
6.402,44.5669
6.42744,54.8186
6.4501,67.5586
6.46952,82.7123
6.48756,102.261
6.50375,126.791
6.51855,158.116
6.5315,195.854
6.54422,246.215
6.55717,315.702
6.56989,406.476
6.58515,549.011
6.60689,807.419
6.63288,1121.74
6.64842,1242.73
6.66056,1274.07
6.67432,1234.55
6.6906,1098.43
6.73269,586.863
6.74749,440.049
6.76044,339.84
6.77339,263.839
6.78518,211.927
6.79767,170.761
6.81224,135.761
6.8275,109.46
6.84415,88.772
6.86404,71.1251
6.8867,56.9392
6.9126,45.5304
6.94035,36.861
6.97272,29.6603
7.0088,23.9728
7.04765,19.5977
7.09298,15.954
7.1457,12.9721
7.20721,10.5592
7.27381,8.7399
7.35475,7.22043
7.438,6.15723
7.549,5.22693
7.66,4.65157
7.75817,4.34383
7.88051,4.1616
7.94168,4.14094
8.06507,4.24598
8.18846,4.56996
8.30318,5.13415
8.40055,5.9098
8.4817,6.87943
8.54893,8.02668
8.61385,9.58741
8.66949,11.4695
8.7205,13.8945
8.76918,17.1995
8.8086,20.9979
8.84569,26.0416
8.87908,32.5324
8.90504,39.6227
8.93008,49.1683
8.9528,61.5216
8.97228,76.6467
8.98944,95.5217
9.00335,116.635
9.01818,147.564
9.03117,184.507
9.04392,232.648
9.05853,305.682
9.07383,405.377
9.09516,580.678
9.12539,847.048
9.14431,963.68
9.16055,998.887
9.17435,973.878
9.19068,885.75
9.21896,646.273
9.24354,435.805
9.25907,328.508
9.27368,249.934
9.28759,193.486
9.30011,155.31
9.31471,122.365
9.32793,100.482
9.34462,80.3169
9.36131,65.8095
9.38079,53.5376
9.40351,43.2885
9.42716,35.5912
9.45498,29.0125
9.48744,23.5063
9.52639,18.8418
9.56534,15.5217
9.6117,12.6822
9.66457,10.3913
9.72902,8.44766
9.79857,6.99624
9.87972,5.83273
9.9655,4.99557
10.0698,4.32198
10.195,3.83511
10.3306,3.57597
10.4244,3.52384
10.5531,3.60974
10.6819,3.90203
10.8002,4.41539
10.8978,5.10432
10.9791,5.96523
11.0465,6.98436
11.1116,8.3728
11.1674,10.0523
11.2185,12.2223
11.2603,14.6965
11.3021,18.1579
11.3393,22.5487
11.37,27.665
11.396,33.6889
11.4183,40.7751
11.4383,49.4609
11.4578,61.2708
11.4741,74.9733
11.4904,93.9868
11.5043,116.359
11.5187,147.613
11.5336,191.235
11.5492,252.159
11.567,343.682
11.5917,502.269
11.6243,717.939
11.6433,801.016
11.6596,825.713
11.6741,806.363
11.6923,732.537
11.7218,543.361
11.7492,362.337
11.7669,268.022
11.7815,206.758
11.7969,157.877
11.8115,123.368
11.825,99.7514
11.8403,79.9107
11.8557,65.4203
11.8738,52.9864
11.8933,43.354
11.9175,34.8545
11.9454,27.9754
11.9779,22.3678
12.0095,18.4766
12.0485,15.0068
12.0941,12.1484
12.1471,9.8293
12.2089,7.96473
12.2758,6.56931
12.3571,5.40972
12.4501,4.53024
12.543,3.94786
12.636,3.56088
12.7754,3.23006
12.9235,3.12098
13.0761,3.23773
13.1905,3.50027
13.3031,3.95926
13.3963,4.56127
13.4894,5.48253
13.5639,6.58881
13.6291,7.99273
13.6827,9.63324
13.7316,11.7448
13.7735,14.2878
13.8107,17.4416
13.8433,21.2832
13.8731,26.1963
13.8992,32.254
13.9216,39.5513
13.9411,48.4739
13.9574,58.6859
13.9737,72.6501
13.99,92.0251
14.004,114.582
14.0184,145.46
14.0333,187.286
14.0506,250.164
14.0725,352.488
14.1201,606.903
14.1391,677.509
14.1596,705.998
14.179,680.67
14.201,598.763
14.255,312.653
14.2736,231.601
14.2909,173.12
14.3055,135.142
14.3202,106.348
14.3356,83.9782
14.3509,67.5876
14.3677,54.5734
14.3873,43.752
14.4068,36.0142
14.432,28.9232
14.4599,23.3926
14.4934,18.7387
14.527,15.4298
14.5661,12.6407
14.6126,10.2797
14.6657,8.38959
14.7188,7.04058
14.7887,5.78315
14.8585,4.90459
14.9517,4.1045
15.0448,3.57599
15.1379,3.22594
15.2776,2.92899
15.4089,2.83648
15.5422,2.9024
15.6755,3.14923
15.797,3.58707
15.8949,4.16483
15.9766,4.88793
16.0536,5.88923
16.1189,7.12513
16.1748,8.639
16.2238,10.5157
