90-Th-231(n,&gamma;) ENDF/B-VII.1
1.0E-5,82158.4
1.30374E-5,71954.0
1.71104E-5,62808.3
2.22778E-5,55043.7
2.92376E-5,48047.1
3.80674E-5,42107.1
4.996E-5,36754.6
6.50481E-5,32210.4
8.53698E-5,28115.7
1.11152E-4,24639.3
1.45877E-4,21506.7
1.89932E-4,18847.2
2.49268E-4,16450.7
3.24548E-4,14416.3
4.2594E-4,12583.1
5.54575E-4,11026.8
7.2783E-4,9624.51
9.47636E-4,8434.06
0.00124369,7361.47
0.00161928,6451.01
0.00212517,5630.54
0.00276697,4933.93
0.0036314,4306.66
0.00472809,3773.85
0.0062052,3293.49
0.00807918,2887.04
0.0106032,2519.8
0.0138054,2208.26
0.0181183,1927.3
0.0244451,1658.95
0.0253,1630.76
0.033204,1424.25
0.0432317,1248.48
0.0567377,1090.3
0.0738726,955.993
0.0969512,834.66
0.126231,731.785
0.165666,639.024
0.215698,560.304
0.283085,489.187
0.368577,428.706
0.483724,374.089
0.629809,327.661
0.857801,280.526
1.12579,244.668
1.55163,208.274
2.10398,178.495
2.87704,152.455
3.86816,131.169
5.21939,112.745
7.0,97.0756
9.52276,83.0549
12.941,70.9311
17.6034,60.6269
23.7688,51.9221
32.3944,44.281
44.1802,37.6684
60.7366,31.9103
82.5805,27.1785
109.051,23.4523
146.676,20.0464
195.342,17.2147
258.297,14.7986
341.969,12.7212
454.12,10.8955
608.046,9.29628
802.14,7.98304
1044.27,6.89784
1398.76,5.88022
1855.5,5.02988
2479.92,4.30171
3288.4,3.70007
4421.78,3.17779
5792.97,2.77687
7652.86,2.43808
10000.0,2.16818
14118.2,1.9125
20000.0,1.68491
31301.3,1.48153
54387.9,1.24636
85581.2,1.06445
108303.0,0.960173
129615.0,0.868776
156663.0,0.804627
200000.0,0.748282
250000.0,0.605629
309233.0,0.490306
344252.0,0.41931
400000.0,0.347329
500962.0,0.287854
600000.0,0.242347
800000.0,0.197148
974004.0,0.172756
1374300.0,0.130929
1874490.0,0.0883207
2184350.0,0.0654088
2500000.0,0.0473143
2719220.0,0.036928
2913890.0,0.0295159
3186160.0,0.0210653
3385180.0,0.0164799
3644750.0,0.0119432
3833560.0,0.00944255
4059330.0,0.00720543
4268430.0,0.00564549
4471510.0,0.00450006
4700540.0,0.00356286
4956950.0,0.00278843
5201310.0,0.00229504
5500000.0,0.00184391
6000000.0,0.00144302
6500000.0,0.00127587
7000000.0,0.0012489
7500000.0,0.00130854
9250000.0,0.00167985
1.0E7,0.00176751
1.05E7,0.00177097
1.15E7,0.00170257
1.31866E7,0.00140178
1.48734E7,0.00101308
1.6E7,8.08195E-4
1.725E7,6.68569E-4
1.85E7,5.68608E-4
1.925E7,5.35901E-4
2.0E7,4.9414E-4
