90-Th-233(n,total fission) ENDF/B-VII.1
1.0E-5,754.405
1.30374E-5,660.709
1.71104E-5,576.735
2.22778E-5,505.442
2.92376E-5,441.203
3.80674E-5,386.665
4.996E-5,337.522
6.50481E-5,295.801
8.53698E-5,258.207
1.11152E-4,226.29
1.45877E-4,197.531
1.89932E-4,173.115
2.49268E-4,151.115
3.24548E-4,132.437
4.2594E-4,115.607
5.54575E-4,101.318
7.2783E-4,88.4424
9.47636E-4,77.5108
0.00124369,67.6606
0.00161928,59.2987
0.00212517,51.7624
0.00276697,45.3632
0.0036314,39.6004
0.00472809,34.7048
0.0062052,30.2907
0.00807918,26.5554
0.0106032,23.18
0.0138054,20.3163
0.0181183,17.7334
0.0244451,15.2655
0.0253,15.0059
0.033204,13.1011
0.0432317,11.4795
0.0567377,10.0208
0.0738726,8.78277
0.0969512,7.66482
0.126231,6.71733
0.165666,5.86335
0.215698,5.13807
0.283085,4.48621
0.368577,3.93064
0.483724,3.43215
0.629809,3.00792
0.826569,2.62443
1.1058,2.26931
1.4385,1.98893
1.82554,1.77305
1.83717,1.82196
1.84415,1.94256
1.84881,2.11734
1.85346,2.42672
1.85753,2.86561
1.86102,3.41633
1.86451,4.17631
1.868,5.19434
1.87208,6.77183
1.87615,8.8307
1.8808,11.8255
1.88662,16.5306
1.89535,25.2037
1.91116,41.7852
1.91912,48.2937
1.9255,52.0652
1.93825,56.1697
1.96374,57.5636
2.75408,48.8812
3.70957,42.2184
5.0,36.3809
6.68397,31.4084
9.04553,26.8266
12.3525,22.7202
16.7894,19.2172
22.8813,16.2317
30.0,13.9671
38.6816,12.1084
52.1939,10.2357
70.0,8.64916
92.8181,7.34904
121.607,6.26425
160.542,5.31867
210.398,4.52362
278.563,3.81825
358.571,3.26971
465.179,2.78315
611.236,2.34899
791.308,1.99732
1000.0,1.72416
1311.78,1.45654
1678.94,1.24734
2103.98,1.08442
2785.63,0.91575
3550.98,0.79542
4651.79,0.682762
6086.23,0.59289
7917.5,0.522247
10656.9,0.458731
15364.4,0.398912
17572.6,0.374597
20000.0,0.340812
28383.4,0.2941
40126.2,0.255082
60983.8,0.212542
86611.8,0.178927
120000.0,0.148008
144724.0,0.135676
178770.0,0.130149
200000.0,0.130693
220952.0,0.125931
253392.0,0.12328
263375.0,0.123344
280609.0,0.123084
300000.0,0.123801
353473.0,0.113266
400000.0,0.107389
500000.0,0.106931
600000.0,0.100506
900000.0,0.0935491
1200000.0,0.0916656
2397920.0,0.0952125
2700000.0,0.0952819
3000000.0,0.0952456
3500000.0,0.0956598
4250000.0,0.0935979
6000000.0,0.0827549
6500780.0,0.0895604
7451800.0,0.146335
8000000.0,0.172981
8750000.0,0.191434
9750000.0,0.20164
1.1E7,0.205398
1.15E7,0.213973
1.20619E7,0.254672
1.3E7,0.351112
1.35E7,0.384852
1.4E7,0.400212
1.45E7,0.400798
1.525E7,0.390588
1.6E7,0.387445
1.65E7,0.37398
1.8E7,0.36621
1.95E7,0.374014
2.0E7,0.387889
