92-U-236(n,total fission) ENDF/B-VII.1
1.0E-5,2.35369
1.31241E-5,2.05455
1.70876E-5,1.80056
2.2426E-5,1.57173
2.91987E-5,1.37744
3.83206E-5,1.20236
4.98935E-5,1.05374
6.54808E-5,0.919813
8.52562E-5,0.80613
1.11891E-4,0.703677
1.45682E-4,0.616694
1.91195E-4,0.538337
2.48937E-4,0.471801
3.26707E-4,0.411832
4.25373E-4,0.360936
5.58264E-4,0.315069
7.26861E-4,0.276151
9.53941E-4,0.241069
0.00124203,0.211278
0.00163006,0.184446
0.00212234,0.161672
0.00278538,0.141152
0.00362657,0.123755
0.00475955,0.108265
0.00619694,0.0949277
0.00813293,0.0828949
0.0105891,0.0728016
0.0138972,0.0635392
0.0180942,0.0557345
0.0234661,0.0491238
0.0253,0.0473308
0.0361611,0.0396692
0.0474582,0.0348145
0.0617907,0.0305655
0.0810948,0.0268057
0.105586,0.0236493
0.150913,0.0200713
0.198059,0.0178213
0.257874,0.0158789
0.368577,0.0137617
0.526803,0.0121282
0.749483,0.0109768
1.07123,0.0103923
1.19278,0.0103289
1.50819,0.0105921
1.9361,0.0114757
2.36858,0.0132548
2.747,0.0157889
3.05785,0.0189284
3.34166,0.0231438
3.58493,0.0283934
3.80455,0.0352427
3.987,0.0434241
4.13904,0.0529313
4.27757,0.0650042
4.39583,0.0792555
4.51409,0.0991556
4.61376,0.122757
4.69654,0.149938
4.77087,0.183272
4.84183,0.227181
4.90264,0.279277
4.9567,0.342833
5.00823,0.426527
5.05553,0.534526
5.09439,0.65852
5.13155,0.823783
5.16344,1.02257
5.19153,1.26666
5.21644,1.5683
5.23651,1.90131
5.25623,2.35112
5.27456,2.94271
5.2885,3.57463
5.30066,4.33649
5.3108,5.21079
5.31992,6.29019
5.32836,7.66731
5.33681,9.58911
5.34458,12.0568
5.35134,14.9591
5.3581,18.79
5.36469,23.6512
5.37178,30.3977
5.38006,40.5801
5.38918,54.9448
5.40135,78.8821
5.42432,129.305
5.43703,149.727
5.44811,157.158
5.44984,157.281
5.45865,153.48
5.46825,141.657
5.48244,113.999
5.50355,67.8797
5.51462,48.0427
5.52298,36.1926
5.53126,27.082
5.53835,21.1078
5.54596,16.2632
5.55271,13.0359
5.55947,10.5923
5.5669,8.58514
5.57535,6.92704
5.5838,5.72658
5.59461,4.62727
5.60677,3.75991
5.62096,3.04606
5.63651,2.48765
5.65543,2.00072
5.67638,1.61555
5.70003,1.30271
5.72452,1.06655
5.75409,0.858677
5.78788,0.688041
5.82335,0.558467
5.8639,0.450759
5.91035,0.361716
5.96357,0.288471
6.0227,0.230247
6.09027,0.18283
6.15954,0.147854
6.24063,0.118209
6.32847,0.0950655
6.42308,0.0769897
6.52782,0.0622736
6.64608,0.0501568
6.78461,0.0399395
6.93327,0.0320702
7.08194,0.0262751
7.26777,0.0209924
7.46763,0.0168788
7.69359,0.0135591
7.92926,0.0109934
8.20744,0.00881814
8.48563,0.00721675
8.76382,0.00605357
9.13474,0.00486685
9.50565,0.00400461
9.87657,0.00335992
10.3402,0.00276445
10.8966,0.00224227
11.5457,0.00182171
12.1948,0.00152858
12.9366,0.00128157
13.6785,0.0011043
14.6058,9.48125E-4
15.7185,8.18669E-4
16.8313,7.39234E-4
17.944,6.81207E-4
19.9782,6.3414E-4
21.0791,6.27462E-4
22.1801,6.35729E-4
23.8316,6.75276E-4
25.2078,7.43973E-4
26.3088,8.44619E-4
26.9969,9.51685E-4
27.4097,0.00104762
27.8427,0.00120925
28.158,0.00139464
28.3759,0.00159305
28.5865,0.00188684
28.7369,0.00220581
28.8673,0.00261249
28.9726,0.00309103
29.0604,0.0036585
29.1456,0.00445158
29.2133,0.00536095
29.2735,0.00651264
29.3261,0.00795412
29.3713,0.00972363
29.4101,0.0119237
29.4415,0.0145249
29.4665,0.0176188
29.4835,0.0206289
29.501,0.0250917
29.5164,0.0307849
29.5295,0.0376996
29.5427,0.0473504
29.5555,0.060474
29.5665,0.0755844
29.5775,0.0953778
29.59,0.125295
29.6019,0.162722
29.6145,0.213736
29.6283,0.286253
29.6433,0.388004
29.6602,0.533551
29.681,0.75777
29.7158,1.21354
29.7514,1.67291
29.7759,1.88963
29.7998,1.9649
29.8221,1.89882
29.8451,1.70611
29.8802,1.26356
29.9183,0.762048
29.9379,0.549912
29.9537,0.410412
29.9692,0.30114
29.983,0.225599
29.9956,0.172152
30.0084,0.130036
30.021,0.0990455
30.0319,0.0784718
30.0445,0.0608007
30.0573,0.0476169
30.0705,0.0379045
30.0836,0.0309361
30.099,0.0251945
30.1165,0.0206958
30.1366,0.0172049
30.1585,0.0145659
30.1899,0.0119735
30.2287,0.00979425
30.2739,0.00805186
