92-U-237(n,&gamma;) ENDF/B-VII.1
1.0E-5,24108.8
1.31241E-5,21044.4
1.70876E-5,18442.7
2.2426E-5,16098.6
2.91987E-5,14108.3
3.83206E-5,12314.8
4.98935E-5,10792.3
6.54808E-5,9420.24
8.52562E-5,8255.53
1.11891E-4,7205.82
1.45682E-4,6314.54
1.91195E-4,5511.56
2.48937E-4,4829.63
3.26707E-4,4214.9
4.25373E-4,3693.06
5.58264E-4,3222.63
7.26861E-4,2823.33
9.53941E-4,2463.19
0.00124203,2157.18
0.00163006,1881.32
0.00212234,1646.93
0.00278538,1435.42
0.00362657,1255.77
0.00475955,1095.44
0.00619694,956.947
0.00813293,831.527
0.0105891,725.757
0.0145161,613.529
0.0180942,545.107
0.0234661,473.893
0.0253,454.082
0.033204,388.891
0.0432317,334.872
0.0567377,283.261
0.0738726,239.208
0.0969512,199.36
0.126231,164.945
0.15829,139.446
0.18924,120.554
0.236786,99.7654
0.29569,81.7363
0.368577,66.671
0.440644,56.4707
0.526803,48.1681
0.609168,42.9569
0.716067,39.1695
0.796242,38.2537
0.894234,39.6128
0.974409,43.3361
1.03231,48.2926
1.07908,54.4012
1.12585,63.3843
1.17039,76.1371
1.20937,92.7587
1.24299,113.776
1.27106,138.971
1.29466,168.934
1.31649,207.849
1.33564,255.94
1.35346,319.282
1.36816,392.887
1.38063,479.096
1.3931,599.678
1.40379,746.482
1.41314,927.808
1.42116,1145.37
1.42784,1393.85
1.43408,1707.11
1.44031,2132.48
1.44655,2712.99
1.45279,3497.8
1.45902,4530.59
1.46704,6243.97
1.4845,10664.6
1.49216,12057.3
1.49961,12550.3
1.5057,12215.4
1.51283,11072.9
1.52695,7571.67
1.53586,5430.7
1.54321,4019.17
1.54922,3130.53
1.55534,2443.65
1.56158,1925.8
1.56837,1516.6
1.57539,1213.16
1.5824,992.135
1.59042,806.997
1.59977,650.795
1.61046,522.951
1.62293,416.978
1.63496,343.016
1.65055,273.497
1.66659,222.165
1.68529,178.871
1.70667,143.49
1.72939,116.501
1.75589,93.8822
1.78507,75.9992
1.81625,62.1296
1.85522,49.7283
1.89419,40.8618
1.94319,32.8876
1.99775,26.6424
2.05232,22.1612
2.12247,18.0445
2.20264,14.7361
2.27948,12.4645
2.39083,10.1424
2.50219,8.54022
2.64917,7.09265
2.7828,6.19777
2.94315,5.45723
3.15217,4.87034
3.32115,4.63728
3.43828,4.58455
3.61397,4.68461
3.78967,5.04236
3.93608,5.62987
4.05321,6.38926
4.17034,7.55909
4.27282,9.13253
4.36067,11.1604
4.4351,13.6912
4.49488,16.6173
4.54857,20.3217
4.59249,24.5329
4.63397,30.0246
4.67302,37.2861
4.70718,46.2582
4.73646,57.0313
4.76208,70.1555
4.78624,87.5447
4.80674,108.367
4.82479,134.118
4.83944,163.1
4.85359,202.217
4.8653,247.801
4.87506,300.162
4.88434,368.208
4.89312,456.663
4.9019,578.232
4.90996,729.127
4.9185,942.611
4.92777,1250.66
4.93753,1671.83
4.94998,2347.46
4.97657,3952.92
4.98829,4435.59
4.99959,4604.57
5.01054,4450.49
5.02147,4020.19
5.04246,2778.5
5.05783,1882.58
5.06857,1379.62
5.07735,1057.52
5.08528,831.203
5.09334,654.86
5.10139,521.957
5.11054,411.022
5.11908,335.546
5.12933,269.76
5.14055,218.468
5.15227,179.89
5.16642,146.191
5.1835,117.291
5.20302,93.9821
5.22352,76.4689
5.24695,61.9945
5.2733,50.2503
5.30454,40.287
5.33675,32.8846
5.37579,26.4168
5.42093,21.1297
5.46974,17.0836
5.5222,13.9642
5.58198,11.4083
5.64909,9.35999
5.7223,7.75115
5.8077,6.40887
5.90531,5.32927
6.02488,4.42131
6.13225,3.85534
6.28842,3.30056
6.47387,2.90991
6.67885,2.69844
6.80484,2.66296
6.96628,2.71246
7.16809,2.94596
7.32953,3.3227
7.45061,3.7722
7.57422,4.46109
7.68017,5.34396
7.7672,6.39276
7.84666,7.7516
7.91477,9.39745
7.97531,11.4534
8.02828,13.9643
8.07369,16.9349
8.11783,20.95
8.15693,25.9582
8.19225,32.3466
8.221,39.6228
8.24573,48.223
8.27045,60.2687
8.28911,72.9948
8.30728,90.2742
8.32241,110.672
8.33502,134.401
8.34764,167.793
8.35899,210.464
8.36807,257.073
8.3769,316.876
8.38573,395.171
8.39519,504.815
8.4049,650.826
8.41663,878.926
8.43025,1217.11
8.47023,2413.68
8.48628,2739.68
8.49964,2832.93
8.5113,2762.92
8.52381,2544.32
8.5444,1971.66
8.56861,1236.82
8.58198,901.739
8.59334,675.928
8.60393,512.869
8.61301,405.386
8.62209,322.663
8.63193,255.278
8.64215,203.86
8.65236,166.193
8.66397,135.068
8.67658,110.719
8.69171,89.8793
8.70786,73.9827
8.72602,60.9742
8.74721,49.9236
8.77294,40.2772
8.80019,32.9254
8.83298,26.5435
8.86829,21.6006
8.90992,17.4146
8.95406,14.2245
9.00451,11.5908
9.06632,9.30328
9.12812,7.67782
9.19623,6.37832
9.28452,5.18044
9.3829,4.25896
9.48884,3.57192
9.59479,3.08842
9.73101,2.66136
9.88236,2.35778
10.0337,2.17578
10.229,2.07269
10.2941,2.06792
10.4769,2.13125
10.6596,2.32135
10.7967,2.57817
10.9338,2.97948
11.0557,3.52223
11.1623,4.22618
11.2537,5.1021
11.34,6.2998
11.4111,7.72312
11.4694,9.36771
11.5227,11.4551
11.5723,14.1779
11.6167,17.6441
11.6548,21.8457
11.6893,27.2361
11.7195,33.9601
11.7451,42.0941
11.7665,51.6808
11.7837,62.5386
11.7989,75.8561
11.8127,92.5795
11.8248,113.211
11.8355,137.759
11.8457,168.98
11.8558,210.442
11.8669,270.724
11.8784,355.329
11.8897,464.027
11.9023,619.421
11.9175,858.116
11.9452,1393.82
11.9675,1811.02
11.9819,2000.33
11.9978,2089.09
11.9996,2090.17
12.0154,2019.62
12.0335,1785.63
12.0825,851.546
12.0977,615.088
12.1107,457.101
12.1229,343.011
12.1339,264.755
12.1453,204.281
12.1556,163.815
12.1675,129.278
12.1802,103.075
12.1929,84.3311
12.2061,70.1428
12.2214,58.19
12.2396,47.8343
12.261,39.1667
12.2838,32.4202
12.3112,26.5098
12.3452,21.267
12.3808,17.3509
12.4252,13.8619
12.4696,11.371
12.5255,9.13249
12.5877,7.38136
12.6499,6.12774
12.726,5.02335
12.8149,4.11612
12.9063,3.45821
13.0129,2.91671
13.1373,2.48312
13.2896,2.13729
13.4419,1.92587
13.5986,1.80371
13.764,1.7588
13.9643,1.81224
14.1146,1.93587
14.2898,2.20479
14.4401,2.59419
14.5652,3.10049
14.6626,3.67838
14.76,4.5144
14.8365,5.45865
14.9047,6.64321
14.9645,8.09964
15.0201,10.0055
15.066,12.2058
15.1105,15.2019
15.1484,18.8122
15.1795,22.9612
15.2062,27.8632
15.2307,34.1103
15.2502,41.0133
15.2697,50.7412
15.2858,62.268
15.2997,76.1722
15.3136,95.5936
15.3264,120.467
15.3375,149.572
15.3487,187.728
15.3615,245.669
15.3751,327.495
15.3901,445.307
15.4082,626.757
15.4577,1232.1
15.4786,1420.19
15.4969,1489.14
15.4997,1490.44
15.5142,1456.6
15.53,1349.11
15.5534,1094.83
15.5907,634.889
15.6079,459.904
15.6221,345.136
15.6358,259.352
15.6474,202.801
15.6602,155.834
15.6714,125.197
15.6825,101.916
15.6953,81.9949
15.7092,66.328
15.7231,54.9667
15.7415,44.2854
15.7615,36.1514
15.7849,29.4493
15.8116,24.0066
15.8427,19.4762
15.8784,15.7819
15.9173,12.8787
15.966,10.2989
16.0147,8.46087
16.0759,6.81189
16.144,5.52427
16.2122,4.60414
16.2957,3.79551
16.393,3.13382
16.5015,2.62395
16.6351,2.20228
16.7908,1.88907
16.9745,1.67561
17.1581,1.57704
17.2805,1.56107
17.4483,1.60337
17.6161,1.72639
17.7741,1.94048
17.9126,2.2439
18.028,2.6235
18.1229,3.06864
18.2127,3.65944
18.3024,4.50767
18.3742,5.48046
18.4371,6.67652
18.4922,8.14252
18.5384,9.83362
18.582,12.0326
18.6204,14.7283
18.6525,17.8228
18.684,22.078
18.7087,26.7629
18.7292,32.1848
18.7482,39.2199
18.7661,48.7993
18.7805,59.6938
18.7948,74.9372
18.8077,93.7981
18.8205,119.486
18.8333,154.204
18.8461,200.435
18.8584,257.994
18.8723,340.612
18.8884,462.873
18.9102,669.288
18.9579,1171.73
18.9803,1330.0
18.9998,1377.56
19.0205,1323.22
19.0441,1148.17
19.099,573.301
19.1175,412.765
19.1336,301.632
19.147,230.251
19.1585,181.772
19.17,143.828
19.1826,112.345
19.1954,88.5174
19.2082,71.0045
19.2226,56.8109
19.238,46.0112
19.2534,38.2617
19.2708,31.8821
19.2913,26.458
19.316,21.7812
19.3437,17.9837
19.3796,14.467
19.4168,11.8672
19.4616,9.61153
19.5129,7.78092
19.5668,6.40325
19.6296,5.24631
19.7078,4.23444
19.7976,3.43419
19.8976,2.82204
20.0053,2.3683
20.113,2.05112
20.2721,1.74199
20.4567,1.53583
20.6414,1.43733
20.7656,1.41976
20.9539,1.46178
21.1422,1.59904
21.3133,1.83867
21.4503,2.1515
21.5644,2.54331
21.6713,3.08395
21.7612,3.7449
21.8382,4.55418
21.9067,5.57529
21.9666,6.83875
22.0179,8.35658
22.0607,10.1006
22.1006,12.3421
22.1349,15.0039
22.1634,18.0521
22.1885,21.737
22.2125,26.6966
22.2324,32.6137
22.2478,38.9445
22.2649,48.7505
22.2804,61.2561
22.294,76.5505
22.3077,97.1868
22.322,126.11
22.3363,164.601
22.3508,215.763
22.3668,287.733
22.3862,398.372
22.4147,599.454
22.4521,872.488
22.4749,991.999
22.4975,1040.58
22.4998,1040.97
22.5219,1001.68
22.5468,876.464
22.6084,431.202
22.6295,305.42
22.6466,225.241
22.662,169.394
22.6761,130.182
22.6897,101.55
22.704,79.0208
22.7168,63.9171
22.7316,51.015
22.7453,42.2725
22.7624,34.3195
22.7796,28.6077
22.7984,24.0115
22.8241,19.5309
22.8549,15.7875
22.8879,12.9418
22.9279,10.4875
22.9707,8.6024
23.0206,7.0177
23.0805,5.66887
23.1504,4.57054
23.2303,3.70168
23.3158,3.05286
23.4157,2.52444
23.5269,2.11907
23.641,1.83204
23.7779,1.59957
23.932,1.43575
24.0404,1.3658
24.2572,1.31129
24.4297,1.34221
24.6022,1.44447
24.7638,1.62578
24.9034,1.88136
25.0198,2.20213
25.1155,2.57937
25.206,3.0815
25.2836,3.68392
25.3599,4.51923
25.4233,5.50293
25.4802,6.7441
25.5267,8.15435
25.572,10.0651
25.6108,12.3817
25.6431,15.1008
25.669,18.1328
25.6938,22.256
25.7145,27.2184
25.7331,33.6455
25.7497,41.8028
25.7641,51.7341
25.7786,65.3441
25.7931,83.95
25.806,106.073
25.8203,137.978
25.8345,179.48
25.851,241.865
25.8694,330.468
25.8929,472.683
25.9483,855.318
25.971,971.657
25.995,1028.03
25.9998,1029.63
26.0228,991.918
26.0497,864.852
26.1172,406.151
26.1371,295.621
26.1552,215.827
26.1697,165.873
26.1841,126.926
26.1971,100.081
26.21,79.3822
26.2245,61.9893
26.2385,49.6492
26.2524,40.527
26.269,32.6906
26.2855,27.0796
26.3062,22.1011
26.331,17.9702
26.3569,14.939
26.3879,12.3184
26.4267,9.98466
26.472,8.0657
26.5173,6.68638
26.5716,5.48376
26.6349,4.48129
26.7009,3.73147
26.7785,3.09462
26.869,2.56739
26.9776,2.1295
27.0862,1.82714
27.2311,1.55734
27.3759,1.38731
27.5207,1.28538
27.738,1.22558
27.7555,1.22507
27.9736,1.27223
28.119,1.36453
28.2643,1.5226
28.3993,1.7539
28.5239,2.07802
28.6278,2.47615
28.7277,3.03663
28.8095,3.70327
28.8835,4.57052
28.9471,5.64291
29.0016,6.95334
29.047,8.48965
29.0859,10.3224
29.121,12.6363
29.1521,15.5926
29.1781,19.1933
29.2002,23.6713
29.2196,29.4241
29.2372,36.875
29.2508,44.8443
29.2664,57.2056
29.2804,72.2868
29.2944,92.2387
29.3084,118.27
29.324,155.829
29.3396,203.944
29.3588,279.273
29.3816,391.502
29.4486,776.259
29.4751,879.968
29.4996,914.222
29.5249,878.53
29.5519,771.228
29.6225,367.728
29.6454,260.411
29.6625,196.23
29.6781,149.868
29.6942,112.745
29.7098,85.6608
29.7238,67.3153
29.7378,53.4721
29.7519,43.0202
29.7674,34.6189
29.785,27.7564
29.8027,22.8868
29.8219,19.0761
29.8479,15.4669
29.8738,12.9299
29.9076,10.5708
29.9465,8.64
29.9919,7.03589
30.0451,5.7046
30.1074,4.61045
30.1749,3.77644
30.2476,3.13495
30.3359,2.58222
30.4449,2.11425
30.5669,1.76412
30.7097,1.49672
30.881,1.30151
31.0613,1.19199
31.2594,1.15335
31.4359,1.18349
31.6123,1.2808
31.7769,1.45307
31.918,1.69447
32.0356,1.99977
32.1459,2.42386
32.2385,2.94597
32.3179,3.58982
32.3885,4.40863
32.4502,5.43242
32.5031,6.67934
32.5472,8.13869
32.5884,10.0678
32.6178,11.9976
32.6472,14.7087
32.6707,17.8163
32.6913,21.6627
32.7078,25.9022
32.7263,32.5052
32.7436,41.2153
32.7595,52.1783
32.7754,66.9619
32.7913,86.6495
32.8077,113.481
32.8254,150.84
32.8442,201.716
32.8668,278.385
32.9042,433.442
32.9436,598.557
32.9682,674.23
32.9953,711.465
32.9998,712.241
33.0226,691.951
33.0517,613.634
33.097,426.401
33.1335,276.075
33.1564,199.181
33.1749,149.665
33.1926,112.667
33.2087,86.499
33.2234,68.1515
33.2387,53.5591
33.2546,42.2299
33.2705,33.8655
33.2881,27.1133
33.3075,21.8471
33.3287,17.8178
33.3499,14.9427
33.3763,12.3618
33.4057,10.3068
33.441,8.52369
33.4851,6.93164
33.5366,5.62068
33.5983,4.52106
33.6601,3.74291
33.7321,3.09103
33.8115,2.57756
33.9144,2.11268
34.0143,1.79934
34.1466,1.5165
34.3054,1.30208
34.4113,1.20974
34.5877,1.11988
34.7641,1.09286
34.9289,1.11992
35.0937,1.20187
35.2507,1.3466
35.3918,1.55842
35.5094,1.8257
35.6061,2.1414
35.6976,2.56355
35.776,3.073
35.8531,3.78512
35.9171,4.63205
35.9746,5.71467
36.0217,6.96724
36.0609,8.42077
36.0936,10.0968
36.1197,11.9359
36.1458,14.512
36.1654,17.2254
36.1864,21.3011
36.2052,26.566
36.2219,33.1283
36.2378,41.705
36.2543,53.7892
36.2708,70.1886
36.2872,92.0895
36.304,121.24
36.3223,162.462
36.3432,222.78
36.3698,319.882
36.4404,622.79
36.4707,714.827
36.4984,746.577
36.4997,746.645
36.523,726.032
36.5502,654.86
36.5899,493.147
36.6349,300.017
36.6589,215.329
36.6783,160.677
36.6965,119.965
36.7122,92.7644
36.7284,71.0482
36.7441,55.1334
36.7598,43.2039
36.776,34.0969
36.7927,27.2495
36.8095,22.2743
36.8304,17.8661
36.8502,14.9178
36.8764,12.1858
36.9077,9.9353
36.9443,8.11624
36.9901,6.53595
37.041,5.30785
37.0959,4.36729
37.16,3.58291
37.2344,2.93723
37.3259,2.38702
37.4148,2.01335
37.5246,1.6898
37.6343,1.46547
37.779,1.26765
37.9591,1.12282
38.1752,1.04759
38.2472,1.04173
38.464,1.07969
38.6086,1.15627
38.7531,1.2878
38.8883,1.48196
39.0142,1.75733
39.119,2.09714
39.2082,2.51133
39.2908,3.05821
39.3589,3.69721
39.4232,4.54938
39.4782,5.59166
39.5228,6.7788
39.5621,8.24807
39.5949,9.98316
39.6224,12.0589
39.6434,14.2692
39.6644,17.3484
39.6827,21.1258
39.7011,26.404
39.7188,33.5292
39.7345,42.1743
39.7514,54.6997
39.7672,70.1994
39.7845,92.5875
39.8013,120.682
39.8196,159.66
39.8427,221.82
39.8721,320.862
39.9371,567.835
39.9696,654.995
39.9971,683.718
39.9996,683.95
40.0252,663.233
40.0524,599.591
40.0944,449.237
40.1405,274.909
40.1668,193.955
40.1877,142.606
40.2071,105.597
40.2244,80.2041
40.2417,60.8843
40.2567,48.2042
40.2723,38.1217
40.2879,30.5545
40.3057,24.2154
40.3251,19.3224
40.3461,15.6279
40.3671,13.0198
40.3933,10.7185
40.4248,8.8025
40.4641,7.14692
40.5113,5.77411
40.5663,4.66266
40.6293,3.77834
40.7027,3.06173
40.7866,2.49549
40.8757,2.07602
40.9858,1.71865
41.1065,1.45497
41.2507,1.24883
41.3949,1.11985
41.5736,1.03225
41.7636,1.00532
41.9625,1.04263
42.1615,1.15877
42.2942,1.29643
42.4419,1.53679
42.5474,1.79522
42.6559,2.18244
42.7403,2.61858
42.8127,3.14296
42.879,3.81622
42.9423,4.73518
42.992,5.76598
43.0373,7.09937
43.0749,8.70689
43.1054,10.5861
43.131,12.8589
43.1541,15.7922
43.172,18.9644
43.191,23.566
43.21,29.9676
43.2269,37.7244
43.245,48.8945
43.2631,63.8424
43.2811,83.4571
43.2998,109.517
43.3215,148.066
43.3487,209.118
43.3897,322.632
43.4349,449.652
43.4674,514.688
43.4974,538.142
43.4998,538.271
43.5285,519.535
43.5603,460.165
43.6176,300.321
43.655,199.47
43.6794,145.83
43.702,106.476
43.7201,81.864
43.7382,62.6656
43.7556,48.4646
43.7737,37.4265
43.7918,29.2871
43.8099,23.3316
43.8289,18.7939
43.8506,15.1138
43.875,12.2465
43.8979,10.3422
43.9281,8.55208
43.9643,7.04955
44.0095,5.74208
44.0637,4.65762
44.127,3.78619
44.1994,3.1024
44.2838,2.55993
44.3835,2.13443
44.4893,1.84076
44.6162,1.62622
44.7555,1.50916
44.8524,1.485
44.9727,1.51589
45.1231,1.65962
45.2434,1.88632
45.3477,2.20511
45.4319,2.59128
45.5021,3.04905
45.5683,3.6557
45.6285,4.43832
45.6786,5.35933
45.7247,6.5617
45.7608,7.8975
45.7909,9.45215
45.8198,11.5649
45.8438,14.0648
45.8679,17.6097
45.8896,22.1242
45.91,28.0274
45.9301,35.9135
45.9501,46.5055
45.969,59.5297
45.9914,79.6774
46.0147,106.51
46.0436,148.431
46.0973,244.157
46.1358,310.174
46.1686,349.112
46.1999,362.328
46.2308,349.184
46.2626,311.776
46.3191,212.852
46.362,139.013
46.3893,101.052
46.4118,76.1996
46.433,57.7986
46.4531,44.4594
46.4731,34.3678
46.4932,26.8617
46.5144,21.0548
46.5337,17.2082
46.5578,13.7355
46.5824,11.2281
46.6063,9.46989
46.6404,7.67766
46.6745,6.40997
46.7214,5.17059
46.7695,4.2686
46.8297,3.4601
46.8999,2.7947
46.9701,2.3172
47.0543,1.90168
47.1526,1.55585
47.2669,1.2719
47.3932,1.05021
47.5396,0.868839
47.7081,0.723151
47.8765,0.620188
48.0891,0.528973
48.3498,0.454636
48.6626,0.399448
48.9274,0.371958
